E08000035,22199,45793
E09000001,7056,67731
S12000033,6368,14281
E06000056,7970,18308
L99999999,366,1195
E07000077,3151,6609
E09000023,11485,15029
E09000012,13979,56508
E07000090,2626,6937
E07000115,3762,8057
E07000217,3952,7930
E08000025,32076,77670
E07000092,2544,5162
E08000006,6987,14656
E07000098,4770,15067
E08000008,4421,8498
E08000004,5071,9601
E09000025,13861,22562
E06000026,4221,8183
E09000008,15336,34520
E09000015,13122,37126
S12000036,15110,45132
E07000136,1305,2177
E07000093,3956,7464
E09000028,14650,30366
E09000033,25799,132540
E07000130,4137,8608
E09000011,11130,16042
E07000211,5154,11182
E07000206,2085,4115
E07000096,5488,11872
E09000013,10338,20820
E07000148,3105,8249
E07000146,2695,5080
E08000027,7121,14573
S12000014,2577,4399
E07000050,1682,3103
E07000047,1296,1873
E09000007,16102,86644
W06000004,1773,3270
E09000014,11752,21687
E08000037,4145,7928
N09000010,4124,5820
N09000006,2229,3428
E07000218,2054,3108
E09000020,10078,21097
W06000023,3102,4659
E09000024,9853,22528
E09000003,18706,66602
E07000107,3595,7170
E06000030,5517,10174
E07000213,3282,7801
E09000030,14419,36032
E07000204,2604,5653
E07000099,4367,9856
E08000036,6928,12021
E07000225,3914,7815
E06000027,2624,5984
S12000024,3189,5176
E09000006,12336,22951
E08000033,5819,10067
E09000022,14279,20093
E09000026,14371,32399
E06000046,2859,4991
S12000015,6350,10216
E06000049,13336,28608
E08000024,4495,6485
E07000114,2708,5631
E09000018,12468,20805
E06000023,14963,31423
W06000003,2202,3725
E06000011,8462,15004
E07000125,1955,2777
E07000215,3479,7726
E07000076,2640,4374
E06000034,5102,8590
E06000043,9626,32035
E08000019,12715,25430
E06000032,6466,16223
E09000029,7041,12871
E07000193,3124,5648
S12000041,2335,3705
E07000181,3552,6972
E06000045,5669,12060
E07000228,4868,9904
W06000022,3299,5886
E07000012,5483,10325
E07000006,3567,8318
E06000040,6950,13710
E07000129,2523,5395
E07000156,2321,5134
E08000003,18498,46500
E08000012,10733,24866
