la,0-4,5-9,10-19,20-49,50-99,100-249,250+,,,,,,,,,,
E09000020,9283,754,411,270,88,51,91,,E09000020,10360,1435,770,400,130,70,50,13215
E09000021,7166,602,345,172,68,37,49,,E09000021,7140,670,345,190,55,35,35,8470
E09000022,13494,1206,684,438,131,95,140,,E09000022,12500,1100,630,345,90,50,45,14760
E09000023,11079,992,610,390,100,60,114,,E09000023,8755,710,310,130,35,25,15,9980
E09000024,9793,870,494,315,86,56,71,,E09000024,9775,795,420,230,90,35,20,11365
E09000025,13080,1163,711,475,147,98,112,,E09000025,10515,865,395,160,50,25,25,12035
E09000026,14170,1248,666,471,163,120,127,,E09000026,11910,1070,470,195,55,25,20,13745
E09000027,10257,810,422,320,77,58,75,,E09000027,11280,995,545,230,80,45,35,13210
E09000028,13858,1208,793,478,161,109,151,,E09000028,12900,1550,1010,615,215,135,95,16520
E09000029,7190,571,347,224,91,49,46,,E09000029,6900,760,310,195,55,30,20,8270
E09000030,13473,1092,715,470,127,86,107,,E09000030,13610,1590,805,470,170,110,85,16840
E09000031,10325,972,572,343,121,49,84,,E09000031,9295,865,410,160,45,35,15,10825
E09000032,14909,1288,735,401,175,91,140,,E09000032,15090,1285,600,280,100,40,45,17440
E09000033,21670,1878,999,651,257,172,208,,E09000033,33890,6460,3920,2010,765,440,385,47870
N09000001,1755,137,82,47,16,9,30,,N09000001,2855,525,300,150,55,20,15,3920
N09000002,3323,345,211,141,40,30,42,,N09000002,6360,960,435,260,80,30,25,8150
N09000003,6154,602,369,249,82,61,60,,N09000003,6205,1605,895,615,195,140,75,9730
N09000004,2017,203,121,85,33,9,21,,N09000004,4575,635,295,170,35,25,10,5745
N09000005,2532,242,140,88,37,18,37,,N09000005,3730,630,320,160,45,20,10,4915
N09000006,2200,215,95,89,21,11,39,,N09000006,6625,650,275,155,40,15,10,7770
N09000007,2419,229,141,78,35,15,26,,N09000007,3335,635,330,185,45,35,20,4585
N09000008,1675,148,86,65,29,9,12,,N09000008,3645,585,270,140,35,20,10,4705
N09000009,2938,266,204,124,37,16,51,,N09000009,6935,900,400,225,75,35,10,8580
N09000010,3848,393,242,128,54,30,72,,N09000010,6420,915,455,205,55,35,10,8095
N09000011,2340,214,140,71,29,15,19,,N09000011,3340,660,300,155,40,15,10,4520
S12000005,791,74,37,33,15,4,9,,S12000005,865,135,80,35,5,5,5,1130
S12000006,1957,182,114,77,25,22,29,,S12000006,4560,1015,440,190,40,20,15,6280
S12000008,1729,180,79,51,25,8,18,,S12000008,2440,430,205,100,25,15,10,3225
S12000010,2168,191,103,84,26,23,18,,S12000010,2390,400,200,105,25,5,10,3135
S12000011,2200,179,112,68,29,11,16,,S12000011,2190,260,145,60,15,10,5,2685
S12000013,603,43,29,25,7,8,14,,S12000013,890,150,75,40,5,0,5,1165
S12000014,2570,233,144,84,33,11,21,,S12000014,2830,490,260,105,45,25,15,3770
S12000015,6062,532,334,229,82,37,71,,S12000015,7030,1395,650,335,100,35,35,9580
S12000017,5461,488,271,222,75,50,128,,S12000017,8200,1375,695,325,90,45,20,10750
S12000018,1229,85,68,49,9,9,18,,S12000018,1230,255,105,50,20,15,10,1685
S12000019,1717,168,77,53,8,16,12,,S12000019,1730,320,165,105,25,5,5,2355
S12000020,1467,151,82,49,18,14,28,,S12000020,2385,440,210,110,25,15,10,3195
S12000021,1895,152,89,74,18,19,39,,S12000021,2460,475,205,105,30,15,10,3300
S12000023,520,42,14,12,14,5,8,,S12000023,1155,175,75,60,5,0,0,1470
S12000024,3204,271,184,110,40,22,54,,S12000024,4535,860,430,200,70,25,15,6135
S12000026,2550,221,135,89,28,11,26,,S12000026,3795,770,265,150,30,25,10,5045
S12000027,798,54,37,14,5,8,15,,S12000027,1135,175,105,50,15,5,5,1490
S12000028,1920,176,98,65,43,15,30,,S12000028,2615,515,240,125,35,20,15,3565
S12000029,5941,567,305,207,64,32,68,,S12000029,6760,1170,565,280,95,40,30,8940
S12000030,2639,221,124,93,28,22,32,,S12000030,2980,460,250,120,45,15,15,3885
S12000033,6620,523,292,161,64,44,89,,S12000033,6575,875,590,365,150,80,65,8700
S12000034,8443,641,378,244,92,50,100,,S12000034,11245,1485,705,395,105,35,30,14000
S12000035,1794,149,84,74,21,14,53,,S12000035,2895,560,270,105,20,15,5,3870
S12000036,14718,1152,683,454,165,88,161,,S12000036,13870,2320,1305,595,200,135,105,18530
S12000038,3241,322,166,117,44,19,49,,S12000038,3300,635,355,155,55,35,30,4565
S12000039,1271,134,72,43,11,9,15,,S12000039,1310,265,140,80,10,20,5,1830
S12000040,3609,330,172,112,26,26,33,,S12000040,3405,605,295,145,45,45,20,4560
S12000041,2388,257,124,92,39,9,40,,S12000041,2950,570,230,135,25,20,10,3940
S12000042,2340,237,135,84,35,11,19,,S12000042,2300,470,290,160,45,30,20,3315
S12000044,4901,474,274,147,62,25,53,,S12000044,5585,975,490,250,85,45,30,7460
S12000045,2294,173,121,84,25,8,23,,S12000045,2405,335,170,70,15,10,5,3010
S12000046,13673,1211,792,553,137,100,162,,S12000046,12715,2555,1530,720,270,150,120,18060
W06000001,1100,99,65,49,15,14,29,,W06000001,1920,325,140,80,20,5,5,2495
W06000002,2287,222,123,105,37,30,57,,W06000002,4090,670,345,155,40,15,10,5325
W06000003,2105,204,147,98,28,18,53,,W06000003,3295,595,270,160,40,15,5,4380
W06000004,1765,182,81,68,32,9,23,,W06000004,2735,495,240,130,30,10,10,3650
W06000005,3372,287,184,120,49,23,36,,W06000005,3865,670,315,190,50,30,20,5140
W06000006,2464,233,140,107,26,18,32,,W06000006,3090,525,260,130,35,25,15,4080
W06000008,1528,125,106,57,16,11,26,,W06000008,3240,435,215,95,15,15,0,4015
W06000009,2681,264,180,93,40,29,42,,W06000009,4235,735,315,175,40,20,5,5525
W06000010,3630,329,198,137,64,30,62,,W06000010,6190,865,375,200,55,15,20,7720
W06000011,4891,505,273,198,72,29,72,,W06000011,4540,870,450,270,75,40,20,6265
W06000012,2147,215,118,79,29,14,30,,W06000012,2155,470,200,125,40,20,10,3020
W06000013,2770,250,144,110,29,22,39,,W06000013,2660,520,245,155,45,20,10,3655
W06000014,3423,292,170,98,37,25,32,,W06000014,3320,540,240,100,30,15,5,4250
W06000015,12733,1096,632,380,133,79,93,,W06000015,8370,1395,790,405,135,80,65,11240
W06000016,4064,407,239,173,53,30,50,,W06000016,4630,740,350,170,55,30,25,6000
W06000018,2842,280,147,106,43,22,51,,W06000018,2925,540,245,145,50,30,20,3955
W06000019,732,60,43,22,9,5,16,,W06000019,915,165,90,30,10,5,10,1225
W06000020,1470,113,85,64,29,8,21,,W06000020,1465,330,170,90,20,15,10,2100
W06000021,2774,230,144,93,25,15,43,,W06000021,3530,525,215,105,25,20,10,4430
W06000022,3280,273,172,114,35,29,29,,W06000022,3155,495,220,155,35,25,20,4105
W06000023,3099,291,155,105,25,29,74,,W06000023,7150,935,355,180,50,15,10,8695
W06000024,957,96,54,40,14,11,7,,W06000024,975,180,85,55,10,5,5,1315
