la,0-4,5-9,10-19,20-49,50-99,100-249,250+,,,,,,,,,,
E07000032,2938,250,161,100,36,25,33,,E07000032,3375,550,265,160,60,35,20,4465
E07000033,1351,133,70,44,15,9,18,,E07000033,1700,350,170,75,35,20,15,2365
E07000034,2487,232,145,117,43,14,30,,E07000034,2365,475,250,140,65,25,20,3340
E07000035,2657,230,135,102,42,30,51,,E07000035,3670,560,250,145,30,15,10,4680
E07000036,2401,211,121,77,33,14,23,,E07000036,2765,435,265,150,45,25,10,3695
E07000037,2473,236,148,98,35,22,33,,E07000037,3050,445,245,120,35,20,5,3920
E07000038,2403,196,107,102,32,11,32,,E07000038,2605,375,205,105,30,15,5,3340
E07000039,2514,212,121,92,29,14,29,,E07000039,2980,360,185,115,30,10,10,3690
E07000040,3406,256,148,117,71,19,53,,E07000040,4870,805,395,180,45,25,10,6330
E07000041,2633,214,156,105,35,30,32,,E07000041,2830,580,340,185,75,30,35,4075
E07000042,1713,159,79,62,33,15,26,,E07000042,3680,480,210,95,25,15,5,4510
E07000043,1976,163,98,68,18,19,32,,E07000043,3750,625,295,140,45,25,15,4895
E07000044,2786,214,147,88,36,26,36,,E07000044,3850,645,320,165,45,15,10,5050
E07000045,3095,295,156,116,50,28,43,,E07000045,4305,695,360,200,50,35,10,5655
E07000046,1209,131,65,37,15,16,11,,E07000046,2900,420,165,90,35,15,0,3625
E07000047,1320,121,57,43,21,12,21,,E07000047,2535,370,150,80,15,5,5,3160
E07000048,1339,114,71,49,15,18,11,,E07000048,1490,265,115,80,25,10,10,1995
E07000049,2756,268,133,96,21,23,36,,E07000049,3395,525,240,145,35,20,5,4365
E07000050,1738,156,71,62,21,16,14,,E07000050,2765,435,175,80,25,15,5,3500
E07000051,1153,105,65,36,9,9,12,,E07000051,1545,280,160,75,25,5,0,2090
E07000052,2576,235,144,79,47,12,35,,E07000052,4175,725,355,165,55,20,15,5510
E07000053,1013,92,62,37,14,16,21,,E07000053,1325,240,115,65,15,5,5,1770
E07000061,1948,168,85,77,22,9,23,,E07000061,2295,390,180,115,35,25,5,3045
E07000062,1754,162,81,54,22,21,26,,E07000062,2130,300,170,90,40,15,5,2750
E07000063,2819,233,138,77,42,26,42,,E07000063,3385,540,250,120,30,20,15,4360
E07000064,2255,218,116,79,22,22,32,,E07000064,3305,480,220,110,30,20,10,4175
E07000065,4757,407,251,138,50,32,53,,E07000065,6920,895,410,200,60,25,15,8525
E07000066,4600,407,261,170,44,50,47,,E07000066,5775,775,445,250,85,35,25,7390
E07000067,3957,366,204,127,49,19,42,,E07000067,5190,770,400,215,55,30,20,6680
E07000068,2844,214,123,91,25,12,14,,E07000068,3565,425,235,95,30,15,15,4380
E07000069,1639,131,89,56,22,14,11,,E07000069,2710,320,140,70,20,10,5,3275
E07000070,5045,407,288,173,50,25,40,,E07000070,6325,825,425,195,75,40,25,7910
E07000071,4726,464,260,151,54,28,44,,E07000071,5360,840,415,230,75,40,35,6995
E07000072,5139,432,254,158,56,44,25,,E07000072,6285,825,375,175,50,30,15,7755
E07000073,2298,183,130,82,22,21,32,,E07000073,2285,300,175,100,30,20,20,2930
E07000074,1936,179,86,62,23,14,16,,E07000074,2650,405,195,100,35,10,5,3400
E07000075,1968,175,91,43,16,11,22,,E07000075,2940,335,190,95,30,10,5,3605
