E09000002,5024,11799,6775
E09000003,43567,66602,23035
E09000004,6199,15039,8840
E09000005,13309,28194,14885
E09000006,7871,22951,15080
E09000008,19730,34520,14790
E09000009,10044,27889,17845
E09000010,17070,30015,12945
E09000011,6107,16042,9935
E09000015,22956,37126,14170
E09000016,5323,15098,9775
E09000017,10143,23218,13075
E09000018,7550,20805,13255
E09000021,4171,12606,8435
E09000024,11183,22528,11345
E09000026,18674,32399,13725
E09000027,5373,18548,13175
E09000029,4621,12871,8250
E09000031,7916,18726,10810
E06000036,1453,6128,4675
E06000043,18405,32035,13630
E06000046,386,4991,4605
E06000035,3783,12183,8400
E06000042,7103,19558,12455
E06000044,5887,11637,5750
E06000038,3997,10997,7000
E06000039,4422,10382,5960
E06000045,5380,12060,6680
E06000037,4453,13388,8935
E06000040,4360,13710,9350
E06000041,1961,10476,8515
E07000004,2079,11959,9880
E07000005,2058,8383,6325
E07000006,3078,8318,5240
E07000007,4739,14279,9540
E07000061,2933,5973,3040
E07000062,1397,4142,2745
E07000063,539,4884,4345
E07000064,730,4895,4165
E07000065,2827,11337,8510
E07000084,1395,9055,7660
E07000085,921,7301,6380
E07000086,2775,8825,6050
E07000087,2079,6529,4450
E07000088,349,2334,1985
E07000089,872,5757,4885
E07000090,2697,6937,4240
E07000091,1377,9287,7910
E07000092,1812,5162,3350
E07000093,1319,7464,6145
E07000094,3519,11024,7505
E07000105,2236,8241,6005
E07000106,2242,7547,5305
E07000107,2980,7170,4190
E07000108,647,4022,3375
E07000109,1682,5512,3830
E07000110,2707,9872,7165
E07000111,3764,10384,6620
E07000112,2165,5915,3750
E07000113,344,5169,4825
E07000114,1846,5631,3785
E07000115,2492,8057,5565
E07000116,3233,9558,6325
E07000177,1759,8409,6650
E07000178,3167,7997,4830
E07000179,639,8829,8190
E07000180,692,6417,5725
E07000181,1372,6972,5600
E07000207,4850,13585,8735
E07000208,1688,5358,3670
E07000209,2837,10252,7415
E07000210,2125,7495,5370
E07000211,4102,11182,7080
E07000212,2136,6366,4230
E07000213,3241,7801,4560
E07000214,2077,6762,4685
E07000215,2801,7726,4925
E07000216,3252,11437,8185
E07000217,2865,7930,5065
E07000223,711,3031,2320
E07000224,698,6058,5360
E07000225,1185,7815,6630
E07000226,1785,5185,3400
E07000227,2170,9700,7530
E07000228,2564,9904,7340
E07000229,3291,6971,3680
E06000022,3401,11566,8165
E06000028,6530,12990,6460
E06000023,13438,31423,17985
E06000052,-3924,19646,23570
E06000053,-141,64,205
E06000024,1704,10469,8765
E06000026,2443,8183,5740
E06000029,9425,15590,6165
E06000025,2743,12843,10100
E06000030,2834,10174,7340
E06000027,1914,5984,4070
E06000054,6237,31792,25555
E07000040,-633,5687,6320
E07000041,2690,6730,4040
E07000042,-1176,3329,4505
E07000043,-1360,3520,4880
E07000044,-1002,4038,5040
E07000045,226,5871,5645
E07000046,-1505,2120,3625
E07000047,-1282,1873,3155
E07000048,855,2840,1985
E07000049,713,5073,4360
E07000050,-392,3103,3495
E07000051,127,2217,2090
E07000052,1397,6892,5495
E07000053,176,1941,1765
E07000078,3656,8916,5260
E07000079,340,6370,6030
E07000080,-385,3435,3820
E07000081,1415,5020,3605
E07000082,110,6060,5950
E07000083,1085,5200,4115
E07000187,300,6050,5750
E07000188,-343,4537,4880
E07000189,-511,6649,7160
