la,0-4,5-9,10-19,50-99,100-249,250+
E07000147,2955,605,250,135,35,10
E07000148,2550,615,345,215,70,50
E07000149,3785,630,240,125,40,20
E07000150,995,215,125,80,25,20
E07000151,3145,425,220,110,40,15
E07000152,2665,395,170,95,25,20
E07000153,2335,370,170,105,35,25
E07000154,4855,780,420,255,90,55
E07000155,3750,520,240,105,30,20
E07000156,2000,365,180,130,35,25
E07000163,2480,400,175,90,25,15
E07000164,3725,650,275,135,35,15
E07000165,6180,1025,465,215,85,45
E07000166,1940,340,155,70,15,5
E07000167,2595,420,205,85,30,10
E07000168,2685,600,300,140,25,15
E07000169,2500,385,155,100,25,10
E07000170,1700,345,205,105,55,25
E07000171,2470,485,225,125,30,20
E07000172,2040,340,155,95,20,20
E07000173,2205,360,170,95,30,10
E07000174,1535,340,185,105,30,20
E07000175,3140,565,270,125,45,20
E07000176,3275,485,230,120,30,25
E07000177,4560,685,370,220,65,35
E07000192,2360,385,195,115,20,15
E07000178,2885,575,315,160,65,70
E07000179,5715,845,395,185,60,30
E07000180,3910,630,300,175,60,35
E07000181,3965,690,300,155,25,30
E07000187,3900,620,320,155,40,30
E07000188,3430,575,250,140,35,15
E07000189,4980,815,370,215,55,40
E07000190,3185,510,265,155,35,20
E07000191,1310,210,75,40,10,0
E07000193,3045,495,240,145,35,15
E07000194,3250,515,210,135,40,30
E07000195,2135,430,235,125,35,20
E07000196,2950,480,185,105,20,10
E07000197,3545,610,245,140,50,20
E07000198,3030,440,175,70,10,15
E07000199,1385,280,155,85,30,10
E07000200,2905,510,220,125,35,15
E07000201,1560,335,170,85,30,10
E07000202,2350,495,235,135,35,35
E07000203,3535,575,215,130,40,15
E07000204,2955,565,260,170,50,25
E07000205,3655,660,340,155,45,20
E07000206,2485,505,225,120,35,15
E07000207,6035,695,330,165,55,45
E07000208,2410,265,130,65,20,15
E07000209,5045,785,390,195,70,35
E07000210,3900,570,245,135,40,30
E07000211,4700,615,295,155,40,30
E07000212,2860,430,200,115,55,35
E07000213,3260,385,180,100,40,20
E07000214,3370,400,230,110,45,35
E07000215,3460,500,215,110,25,20
E07000216,5725,800,365,165,50,40
E07000217,3275,455,235,145,50,20
E07000218,1810,370,160,95,25,20
E07000219,2195,390,215,110,30,25
E07000220,2935,440,210,115,35,20
E07000221,5600,820,420,200,60,25
E07000222,4880,640,365,185,75,35
E07000223,1510,260,125,60,20,10
E07000224,3475,610,255,165,45,10
E07000225,4560,750,315,200,55,20
E07000226,1855,330,180,115,50,30
E07000227,5055,745,350,180,60,20
E07000228,4860,735,360,190,60,30
E07000229,2400,370,185,115,35,15
E07000234,3200,495,255,115,35,25
E07000235,3085,455,210,105,35,15
E07000236,1685,315,180,105,50,20
E07000237,1895,355,195,120,30,25
E07000238,4550,675,300,170,70,30
E07000239,2375,400,210,95,35,15
E07000240,5775,695,345,160,60,50
E07000241,3130,450,205,145,45,35
E07000242,5355,770,355,175,55,35
E07000243,1820,265,125,80,20,20
E08000001,5270,965,530,285,80,50
E08000002,4080,720,375,175,50,35
E08000003,9840,1905,1110,590,195,125
E08000004,3765,730,410,200,70,50
E08000005,3695,705,360,245,70,40
E08000006,4670,850,475,270,95,45
E08000007,7380,1220,640,320,120,45
E08000008,3710,675,360,230,55,30
E08000009,7440,1055,580,305,115,75
E08000010,5225,990,475,260,65,45
E08000011,1555,360,180,100,40,25
E08000012,6805,1460,740,445,175,85
E08000013,2495,515,280,185,55,25
E08000014,4595,880,450,230,65,35
E08000015,5070,960,515,270,70,50
E08000016,3685,680,345,220,65,30
E08000017,4650,910,425,265,65,55
E08000018,3890,775,415,260,95,45
E08000019,9020,1830,975,595,205,100
E08000021,4270,1060,525,300,100,70
E08000022,2805,565,280,175,55,25
E08000023,1715,365,185,110,35,25
E08000024,3015,730,410,220,55,40
E08000025,18265,3480,1855,955,330,190
E08000026,5560,915,480,280,65,55
E08000027,5985,1165,665,345,95,60
E08000028,4420,1000,555,335,130,60
E08000029,5290,705,365,195,75,35
E08000030,4365,790,460,285,100,55
E08000031,3960,800,460,260,90,45
E08000032,9035,1710,870,500,155,100
E08000033,5000,900,470,265,90,55
E08000034,8740,1675,870,450,150,70
E08000035,15595,2935,1520,880,315,190
E08000036,5425,1090,535,300,130,60
