E07000141,571,6491,5920,4590,730,325,175,50,35,15
E07000142,-251,3499,3750,2930,465,190,115,25,20,5
E07000150,589,2839,2250,1720,250,140,80,30,20,10
E07000151,364,4924,4560,3675,470,240,115,40,15,5
E07000152,431,4361,3930,3170,420,180,105,25,20,10
E07000153,952,4777,3825,3085,365,185,120,35,20,15
E07000154,4327,13467,9140,7310,865,470,275,105,65,50
E07000155,54,5364,5310,4305,555,255,135,30,20,10
E07000156,1854,5134,3280,2500,380,195,130,40,25,10
E07000170,67,2957,2890,2100,375,210,110,40,35,20
E07000171,57,4112,4055,3070,525,265,120,50,15,10
E07000172,1578,4993,3415,2715,365,175,100,25,20,15
E07000173,500,3945,3445,2720,385,195,85,30,15,15
E07000174,966,3711,2745,2040,340,185,115,30,25,10
E07000175,-365,4485,4850,3755,580,285,155,50,20,5
E07000176,1012,6412,5400,4370,555,270,125,45,20,15
E06000019,-1821,8319,10140,7950,1165,545,325,80,50,25
E06000051,-986,14664,15650,12190,1960,870,410,115,70,35
E06000021,1963,8118,6155,4365,880,480,250,90,50,40
E06000020,873,5858,4985,3730,595,310,190,85,45,30
E07000192,1539,4939,3400,2540,460,225,125,25,15,10
E07000193,918,5648,4730,3690,550,255,155,40,20,20
E07000194,2590,7680,5090,3895,640,285,160,50,35,25
E07000195,1019,4609,3590,2695,455,235,125,45,15,20
E07000196,130,4330,4200,3295,525,200,125,35,10,10
E07000197,77,5382,5305,4140,610,285,165,50,40,15
E07000198,-1133,3032,4165,3365,485,185,95,20,10,5
E07000199,766,3101,2335,1750,285,160,90,30,15,5
E07000218,253,3108,2855,2145,365,175,100,35,20,15
E07000219,974,4639,3665,2840,395,235,125,35,20,15
E07000220,1012,6087,5075,4210,435,215,125,40,25,25
E07000221,955,9110,8155,6500,845,460,235,65,35,15
E07000222,3543,11278,7735,6205,755,400,225,70,40,40
E08000025,40555,77670,37115,27755,5340,2250,1035,375,210,150
E08000026,8337,18402,10065,8070,940,565,295,90,50,55
E08000027,4978,14573,9595,7170,1245,665,340,85,65,25
E08000028,2997,11752,8755,6490,1090,580,365,125,65,40
E08000029,4398,12613,8215,6660,765,395,215,90,50,40
E08000030,2615,10275,7660,5755,930,495,295,95,50,40
E08000031,4094,11654,7560,5785,855,470,275,90,50,35
E07000234,2039,9224,7185,5325,1110,495,165,45,25,20
E07000235,73,4348,4275,3440,465,195,115,35,15,10
E07000236,1449,4254,2805,2065,330,205,110,45,30,20
E07000237,1280,4365,3085,2300,380,205,125,30,20,25
E07000238,1562,7992,6430,5100,715,335,170,55,35,20
E07000239,512,3992,3480,2695,420,200,105,30,20,10
E06000055,3160,10120,6960,5560,735,350,180,75,35,25
E06000056,2633,18308,15675,12000,2235,890,350,120,40,40
E06000032,6568,16223,9655,8200,800,365,175,50,30,35
E06000031,2113,9013,6900,5370,730,370,255,80,55,40
E06000033,8454,15414,6960,5620,735,330,175,50,25,25
E06000034,2325,8590,6265,5185,580,250,140,60,35,15
E07000008,2525,7495,4970,3700,590,350,165,65,65,35
E07000009,-33,4027,4060,3185,470,225,120,35,15,10
E07000010,-155,3320,3475,2720,420,165,105,30,25,10
E07000011,1667,9432,7765,6085,855,455,225,75,40,30
E07000012,2190,10325,8135,6370,860,455,280,90,45,35
E07000066,4716,12106,7390,5775,775,445,250,85,35,25
E07000067,976,7656,6680,5190,770,400,215,55,30,20
E07000068,2117,6497,4380,3565,425,235,95,30,15,15
E07000069,1753,5028,3275,2710,320,140,70,20,10,5
E07000070,3237,11147,7910,6325,825,425,195,75,40,25
E07000071,3401,10396,6995,5360,840,415,230,75,40,35
E07000072,3937,11692,7755,6285,825,375,175,50,30,15
E07000073,1304,4234,2930,2285,300,175,100,30,20,20
E07000074,820,4220,3400,2650,405,195,100,35,10,5
E07000075,827,4432,3605,2940,335,190,95,30,10,5
E07000076,-51,4374,4425,3335,580,295,140,45,20,10
E07000077,1244,6609,5365,4260,605,275,140,50,20,15
E07000095,3642,7737,4095,3330,410,195,90,25,25,20
E07000096,3992,11872,7880,6480,730,345,195,55,45,30
E07000242,4088,14258,10170,8210,1165,460,195,75,50,15
E07000098,7647,15067,7420,6160,635,350,155,50,50,20
E07000099,3366,9856,6490,5095,740,355,195,60,35,10
E07000240,4912,14287,9375,7805,835,410,185,65,45,30
E07000243,1701,4851,3150,2590,290,140,80,20,15,15
E07000102,3739,8979,5240,4355,470,215,125,35,15,25
E07000103,5951,10801,4850,3885,435,280,130,55,30,35
E07000241,2253,7268,5015,4010,505,240,145,55,25,35
