E07000205,645,470,1240,2535
E07000206,445,405,855,1695
E09000007,4090,3260,5610,9205
E09000001,2330,1905,3840,6310
E09000012,2905,1990,3180,3285
E09000013,2485,1780,2900,3350
E09000014,1960,1515,2505,2745
E09000019,3285,2110,3505,4365
E09000020,2285,1670,2810,4090
E09000022,5475,1820,2860,3095
E09000023,1795,1165,1985,1930
E09000025,1965,1300,1555,1475
E09000028,2710,2000,3270,3830
E09000030,3190,2195,3145,2925
E09000032,3330,2510,3725,4030
E09000033,8505,6640,11530,15200
E09000002,1070,730,1010,1040
E09000003,3655,2760,4840,6375
E09000004,1235,955,1855,2235
E09000005,2585,1875,3175,3625
E09000006,2240,1765,3195,4395
E09000008,2415,1710,3000,3825
E09000009,2980,2230,3565,4245
E09000010,2055,1530,2680,3050
E09000011,1635,1180,1825,1790
E09000015,2310,1775,2905,3435
E09000016,1385,1020,1885,2760
E09000017,2135,1515,2565,3305
E09000018,2600,1835,2560,3100
E09000021,1385,1115,1890,2330
E09000024,2035,1485,2295,2545
E09000026,2385,1820,2480,2470
E09000027,2150,1705,3215,4005
E09000029,1230,965,1750,2405
E09000031,1790,1190,1915,1980
E06000036,725,585,1185,1510
E06000043,2095,1715,3335,3945
E06000046,515,400,1120,2090
E06000035,1275,865,1760,2575
E06000042,2010,1490,2595,3350
E06000044,870,675,1195,1850
E06000038,1290,885,1455,1945
E06000039,1150,705,1055,1315
E06000045,985,735,1380,2095
E06000037,1355,1015,2075,3455
E06000040,1500,1115,2225,3205
E06000041,1285,1000,1980,2780
E07000004,1215,1020,2250,3870
E07000005,815,705,1455,2385
E07000006,745,645,1335,1880
E07000007,1320,1060,2180,3735
E07000061,425,335,705,1135
E07000062,355,275,685,995
E07000063,500,455,980,1740
E07000064,460,400,925,1890
E07000065,950,770,1980,3685
E07000084,1130,945,1795,2710
E07000085,850,730,1625,2665
E07000086,660,600,1290,1750
E07000087,620,420,1035,1640
E07000088,305,230,480,630
E07000089,735,600,1275,1800
E07000090,545,485,970,1455
E07000091,1040,755,1925,3480
E07000092,485,380,785,1090
E07000093,770,615,1280,2405
E07000094,980,775,1870,2860
E07000105,800,670,1485,2165
E07000106,750,575,1190,2025
E07000107,635,445,860,1120
E07000108,440,330,720,1415
E07000109,555,420,725,1080
E07000110,1035,780,1645,2715
E07000111,955,780,1550,2625
E07000112,490,355,805,1435
E07000113,630,465,1025,1795
E07000114,500,395,860,1240
E07000115,760,615,1335,2005
E07000116,850,690,1575,2440
E07000177,830,745,1595,2785
E07000178,675,565,1075,1790
E07000179,1105,910,1900,3340
E07000180,775,580,1335,2450
E07000181,690,550,1415,2525
E07000207,1355,1085,1990,2920
E07000208,535,450,840,1095
E07000209,1075,940,1705,2820
E07000210,760,640,1290,2250
E07000211,1000,850,1630,2380
E07000212,625,515,990,1605
E07000213,875,635,1020,1465
E07000214,765,620,1170,1655
E07000215,665,560,1160,1955
E07000216,1125,930,2050,3055
E07000217,810,645,1140,1610
E07000223,300,270,565,855
E07000224,620,520,1220,2205
E07000225,835,675,1525,2885
E07000226,535,395,685,980
E07000227,940,760,1680,3040
E07000228,975,805,1670,2805
E07000229,525,420,900,1290
E06000022,1000,855,1895,3400
E06000028,975,810,1550,2095
E06000023,2710,2030,3935,5520
E06000052,2400,1900,5020,11680
E06000053,15,10,45,120
E06000024,1135,925,1970,3290
E06000026,920,655,1405,1995
E06000029,845,705,1500,2210
E06000025,1390,1060,2270,3665
E06000030,1125,865,1510,2165
E06000027,485,355,1025,1655
E06000054,2825,2205,5230,9480
E07000040,645,470,1445,3110
E07000041,520,420,930,1635
E07000042,420,320,880,2535
E07000043,430,325,1075,2720
E07000044,495,430,1135,2560
E07000045,570,515,1380,2545
E07000046,280,235,690,2090
E07000047,280,245,635,1815
E07000048,260,200,455,765
E07000049,530,445,1070,1975
E07000050,380,285,745,1765
E07000051,235,170,485,1025
E07000052,540,475,1190,2810
E07000053,245,195,470,675
E07000078,880,630,1195,1820
E07000079,720,610,1380,2755
E07000080,405,300,825,1940
E07000081,540,370,780,1290
E07000082,665,530,1400,2725
E07000083,500,385,865,1760
E07000187,640,485,1325,2625
E07000188,570,410,1160,2320
E07000189,710,580,1620,3575
E07000190,570,405,1055,2170
E07000191,150,115,320,1065
W06000001,210,175,525,1380
W06000002,455,350,1050,3105
W06000003,430,340,890,2190
W06000004,375,280,725,1825
W06000005,650,475,1130,2115
W06000006,505,345,900,1785
W06000023,600,485,1435,5835
W06000008,285,230,715,2620
W06000009,460,370,1105,3190
W06000010,615,510,1440,4385
W06000011,775,585,1440,2525
W06000012,345,300,635,1245
W06000013,460,345,835,1455
W06000014,525,375,975,1570
W06000015,1525,1025,2425,3680
W06000016,665,490,1220,1875
W06000024,170,100,280,425
W06000018,495,370,895,1480
W06000019,155,105,250,475
W06000020,245,185,445,855
W06000021,470,380,950,2070
W06000022,515,390,835,1370
S12000033,1930,1150,2105,3085
S12000034,1930,1315,3540,6325
S12000041,465,335,825,1865
S12000035,365,310,765,2205
S12000005,170,120,240,435
S12000006,495,365,1140,3880
S12000042,505,345,670,1300
S12000008,410,285,570,1455
S12000045,415,325,660,1060
S12000010,395,355,650,1300
S12000011,400,290,590,920
S12000036,2885,2205,4020,6050
S12000013,130,60,235,625
S12000014,590,390,860,1345
S12000015,1255,930,2025,3715
S12000046,2940,2005,3770,5915
S12000017,1095,920,2410,5505
S12000018,260,145,400,635
S12000019,290,230,495,935
S12000020,330,245,705,1620
S12000021,385,300,675,1385
S12000044,1150,840,1535,2430
S12000023,90,90,205,990
S12000024,665,505,1210,3105
S12000038,660,520,1030,1675
S12000026,445,380,995,2830
S12000027,170,95,235,835
S12000028,430,300,730,1630
S12000029,1240,910,1895,3395
S12000030,480,410,865,1700
S12000039,270,190,365,680
S12000040,715,515,995,1530
N09000003,965,765,2050,4535
