sic,ch,ons
811,416,245
2640,11,540
710,96,0
3092,128,105
4931,76,1870
2041,131,345
7734,34,290
4920,182,25
2825,296,865
4675,1100,1475
2550,308,730
1811,132,35
3020,218,60
129,240,100
9321,361,405
4622,740,940
2751,20,180
146,295,1385
2016,187,345
2813,45,320
9420,41,340
4671,532,1385
1512,3,315
2540,76,115
3812,160,105
9103,688,400
2370,438,1120
9512,151,225
1310,291,125
4633,539,715
1920,8,135
130,22,510
1622,79,10
142,24,5230
2572,133,560
311,1497,3250
4624,143,155
4726,254,2115
161,1414,2225
2219,619,520
1102,126,30
150,7,27320
2815,180,215
149,380,1525
2343,12,5
3012,521,545
141,120,15890
1052,230,235
1391,202,75
3250,1112,1780
2561,707,1260
8412,232,150
4661,643,1620
3103,172,120
2410,605,240
4621,421,1060
2841,159,400
3521,80,10
1414,41,135
7731,254,430
4623,91,350
9525,200,295
1814,202,290
312,434,155
9524,282,525
2433,132,20
1011,381,335
2812,6,120
4644,263,525
3822,190,85
2454,93,110
125,9,130
5040,48,80
3030,540,575
2312,210,430
2830,32,395
2399,250,160
1395,87,15
1722,3,75
220,376,320
3513,474,75
2594,220,155
620,305,50
1061,63,130
2020,5,60
2593,350,420
4213,141,55
163,235,30
7722,22,140
6520,39,20
510,45,25
2453,93,130
2712,384,695
5222,462,750
119,161,850
899,708,235
2680,32,20
1712,10,240
2893,298,410
2012,113,80
1091,208,245
3091,61,70
2451,12,125
4611,534,755
2591,31,35
1394,52,75
1396,151,150
2352,15,5
143,661,17655
124,11,880
2892,113,220
322,186,145
1051,65,350
2443,15,20
1624,240,390
3011,291,385
4664,61,140
1511,22,55
2521,3,115
2344,104,5
1621,103,130
1020,306,320
2711,351,260
9523,186,475
8430,18,0
2529,182,155
3291,39,45
2349,100,75
321,292,280
1393,64,130
164,52,10
4663,271,745
1041,102,60
2313,21,40
2362,44,40
2391,66,70
2369,85,120
9104,238,330
6411,103,0
1083,113,60
2014,173,135
2895,67,40
5122,20,0
2660,59,85
2720,60,50
2733,3,65
1520,13,195
2017,10,5
2824,39,10
2652,1,60
2052,61,60
2341,104,190
9492,132,940
2351,34,5
4950,52,10
2894,98,140
2931,1,140
121,13,55
2320,13,85
2821,16,160
2060,34,15
1081,10,0
1032,97,50
2015,76,60
1411,23,45
1439,115,175
112,48,0
729,271,5
1062,7,5
128,15,5
2434,20,20
2011,44,15
1431,85,50
8421,32,0
1092,150,135
2444,30,55
1103,116,65
1104,45,5
2332,87,130
3213,75,105
116,20,955
230,27,0
144,33,30
2053,36,45
2592,68,60
1910,6,5
2823,58,100
520,9,0
1086,30,40
1031,54,50
2331,33,80
1724,1,10
2432,14,5
122,17,5
2431,7,5
2752,8,90
2891,34,15
1711,6,0
4635,58,60
892,14,20
1106,21,10
721,17,0
2731,2,40
2530,11,75
127,17,5
3211,20,0
114,8,5
893,10,5
123,2,0
891,17,5
2446,6,5
2365,5,5
1042,9,0
1073,36,20
2342,19,10
3040,10,5
1420,4,10
126,1,0
