E08000026,5593,3669,4910,4230
W06000002,799,594,1014,1207
E07000065,2141,1842,3498,3856
E07000035,725,629,1136,1609
E09000010,9702,6662,7890,5761
E07000106,1885,1271,2122,2269
E07000011,2193,1597,2565,3077
E08000005,3218,1598,2036,2062
E08000028,4290,2115,2563,2784
E06000024,2424,1879,2872,3294
E07000039,891,604,955,1026
E07000069,1335,1051,1465,1177
E07000029,373,362,529,513
E06000052,4445,3341,5512,6348
E07000111,2154,1719,3121,3390
E07000067,1682,1389,2246,2339
E07000167,358,304,575,769
E08000029,2942,2113,3313,4245
E07000153,1289,873,1256,1359
E09000017,7614,4583,5764,5257
W06000015,5549,3830,5658,5814
W06000005,1457,1009,1385,1518
E06000016,6565,3672,4359,4162
E06000039,3634,2048,2641,2059
S12000029,4272,3584,3803,2677
N09000005,986,773,923,1243
E07000239,911,692,1129,1260
E07000154,4143,2789,3217,3318
E07000113,1352,946,1377,1494
E07000143,1113,826,1242,1503
E07000038,698,495,887,1082
E07000080,613,504,1122,1196
E06000054,12840,4044,6995,7913
E07000036,1057,681,993,1311
E06000021,2314,1459,1953,2392
E07000191,205,152,269,374
W06000016,2098,1418,2049,1661
E06000055,2810,1799,2666,2845
E08000022,2076,1315,1780,1896
E07000108,1024,719,1267,1012
E07000122,813,515,816,954
E07000141,1570,1133,1829,1959
E07000110,2452,1686,2752,2982
E08000034,5011,3499,5318,5013
E06000042,5497,3750,5484,4827
W06000010,1350,940,1515,1725
S12000005,307,209,314,275
E07000226,1389,941,1281,1574
E06000033,3853,2805,4288,4468
E07000086,2012,1578,2624,2611
E08000001,4762,2562,3922,3717
E07000202,1807,967,1495,1729
E07000070,2728,1967,3067,3385
E07000234,4732,948,1588,1956
E08000015,3992,3109,4412,3212
E06000036,1443,979,1493,2213
E07000205,1201,857,1467,1913
E07000127,1250,976,1475,1487
E07000219,1348,845,1210,1236
E07000221,1933,1467,2585,3125
E07000165,2094,1688,3057,3561
N09000011,927,597,935,1201
S12000019,661,452,615,696
E07000123,2177,1581,2302,2513
E07000214,1430,1110,1934,2288
E07000144,1578,862,1410,1765
S12000017,2036,1745,2413,2835
E07000229,1490,1179,2006,2296
E06000057,2367,1736,2838,2845
E07000216,2280,1914,3341,3902
E07000102,2194,1565,2549,2671
E08000017,5155,2795,3277,2681
E06000015,3885,2370,3440,3306
E07000177,1898,1445,2328,2738
E07000004,2857,2142,3351,3609
E07000187,1376,1030,1674,1970
E07000138,960,712,1263,1122
E07000179,1861,1490,2506,2972
E07000034,1019,772,1287,1390
E06000005,1141,803,1170,1028
E07000063,1034,864,1344,1642
E07000198,684,520,805,1023
E07000237,1041,749,1204,1371
E07000201,590,414,596,719
E07000072,2950,2033,3215,3494
E07000120,780,409,657,814
E09000002,5312,2892,2592,1003
N09000003,3678,2486,4053,5823
E07000149,1117,797,1352,1642
E07000112,1613,928,1667,1707
E08000002,5547,2106,3024,2963
E07000074,860,685,1207,1468
E08000014,3258,1965,2931,3131
W06000012,885,536,833,874
E07000128,1096,684,1127,1327
E06000019,1632,1343,2311,3033
S12000038,1576,964,1587,1971
E07000194,2718,1056,1822,2084
E07000082,1160,1012,1739,2149
E07000027,545,429,651,610
W06000011,2344,1599,2284,2664
E06000044,3937,2667,2630,2403
E07000010,897,567,824,1032
E07000032,984,780,1235,1551
E07000178,1857,1315,2129,2696
E06000038,2983,1986,2955,3073
S12000006,606,485,873,1128
E07000236,1051,746,1083,1374
E07000118,1225,1043,1678,1400
E07000131,1200,1060,1862,1711
E07000170,754,502,661,1040
E07000164,775,633,1116,1285
E07000189,1360,1057,1802,2430
E07000210,1368,1054,1965,3108
E07000084,2238,1645,2538,2634
E07000134,1123,823,1302,1906
E07000079,1210,1021,1844,2295
E08000010,3267,1964,2810,2585
E06000010,2464,1394,2138,2669
E07000094,2302,1776,3006,3940
E07000117,802,526,737,889
E07000126,1046,758,1182,1247
E06000013,1571,1092,1469,1769
W06000013,1392,808,1248,1322
E07000124,818,594,1039,1132
E06000002,1730,1008,1210,823
E06000012,1531,1071,1657,1943
E07000033,783,422,558,703
E07000041,1510,1042,1815,2363
E07000175,1093,747,1178,1467
W06000009,840,604,1077,1477
W06000014,1241,930,1246,1366
E08000013,1506,973,1269,1369
W06000008,332,327,598,772
E07000220,1767,1175,1665,1480
E07000042,673,562,909,1185
E07000075,1106,825,1220,1281
E06000029,5774,2869,3918,3029
E07000139,1148,992,1274,1207
E07000140,1221,790,958,1059
E07000062,1052,683,1093,1314
S12000044,2752,1609,2150,1788
E08000023,1536,873,1080,812
E07000203,1027,782,1420,1700
E09000021,3324,2186,3492,3604
E07000196,995,715,1244,1376
E07000174,1014,727,964,1006
E07000145,815,480,880,938
E07000091,1857,1470,2545,3415
E07000081,1253,883,1325,1559
E07000085,1519,1170,2013,2599
N09000001,600,387,724,1001
E07000137,848,562,942,1517
S12000045,852,588,759,719
E07000052,1774,1223,1715,2180
E07000121,1183,814,1449,1583
S12000028,1249,1127,889,913
W06000021,963,725,1181,1271
E07000064,1158,770,1275,1692
S12000040,1401,935,1318,1185
E07000066,3477,2540,3305,2784
S12000010,774,482,811,801
E07000238,1610,1319,2302,2761
E07000208,1257,960,1490,1651
E07000109,1775,1190,1374,1173
E07000095,1902,1280,1889,2666
E07000116,1942,1534,2884,3198
E07000048,658,443,760,979
N09000009,927,720,1169,1490
E07000151,1195,908,1545,1276
S12000042,2273,1013,1383,1379
E07000241,1876,1396,1937,2059
E07000243,1361,1034,1246,1210
E07000053,409,303,539,690
E07000135,709,434,571,541
E07000009,853,687,1121,1366
E07000235,812,675,1295,1566
W06000006,1079,766,1127,1207
E07000224,1399,1022,1541,2096
E07000132,1063,726,1160,1318
E07000188,907,679,1352,1599
E07000061,1315,1046,1654,1958
E07000051,489,343,556,829
E07000083,1094,797,1518,1791
E07000152,1091,781,1200,1289
S12000021,915,525,672,702
E07000105,2085,1324,2313,2519
W06000018,1103,655,923,1009
E07000089,1270,940,1605,1942
E06000006,1226,735,1025,1135
S12000030,1028,669,1111,1218
E07000180,1393,1018,1819,2187
E07000133,542,386,619,661
E06000017,380,313,527,538
S12000026,743,538,991,1127
E07000088,721,418,573,622
W06000020,588,355,560,619
E07000199,805,547,845,904
E07000142,832,610,1024,1033
E08000011,1362,740,1637,884
S12000008,988,580,789,723
E06000001,785,669,693,557
E07000169,872,543,917,899
S12000018,535,300,557,534
E06000003,955,560,775,666
E07000026,647,758,1081,1246
E07000155,1272,963,1586,1543
N09000007,953,604,963,1312
E07000046,405,351,597,767
N09000008,868,509,707,944
E07000166,454,301,596,702
E07000197,1229,945,1483,1725
N09000004,795,525,791,1234
E07000030,357,298,639,908
S12000011,967,635,1037,843
N09000002,1186,843,1371,1689
W06000019,376,209,294,238
S12000013,150,131,281,337
E06000053,10,7,13,34
W06000024,539,249,289,247
S12000023,114,95,182,238
S12000027,192,208,259,266
M99999999,25,41,43,314
,8,3,23,56
