1889-05-30,00029043,BIRTH
1900-03-05,00065252,BIRTH
1900-07-20,00066706,BIRTH
1907-08-12,00094558,BIRTH
1907-11-01,00095512,BIRTH
1908-12-05,SC006962,BIRTH
1909-07-22,00104194,BIRTH
1909-10-19,00105500,BIRTH
1913-07-10,00130050,BIRTH
1916-06-26,00144198,BIRTH
1919-07-25,00157366,BIRTH
1921-02-17,SC011620,BIRTH
1924-04-23,SC013135,BIRTH
1925-03-20,00204634,BIRTH
1925-05-05,00205738,BIRTH
1927-06-21,00222672,BIRTH
1929-03-23,00238143,BIRTH
1931-07-11,SC016509,BIRTH
1935-03-07,00298001,BIRTH
1935-05-31,00301357,BIRTH
1939-01-05,00348088,BIRTH
1940-06-21,00361965,BIRTH
1944-06-29,00388466,BIRTH
1945-02-03,00392957,BIRTH
1945-03-07,00393727,BIRTH
1946-06-13,NI002081,BIRTH
1946-07-22,00415578,BIRTH
1947-01-14,00427594,BIRTH
1947-02-05,00429091,BIRTH
1947-12-04,SC025944,BIRTH
1948-06-14,00455420,BIRTH
1949-10-21,00474157,BIRTH
1950-04-06,00480775,BIRTH
1951-01-02,00490134,BIRTH
1952-07-28,00510138,BIRTH
1953-01-16,00515192,BIRTH
1954-04-06,00531769,BIRTH
1954-12-07,00541621,BIRTH
1955-03-25,00546478,BIRTH
1955-04-13,00547634,BIRTH
1955-06-18,00550864,BIRTH
1956-07-26,NI003726,BIRTH
1956-11-01,00573692,BIRTH
1957-01-28,00577627,BIRTH
1957-06-12,00585437,BIRTH
1957-07-18,00587472,BIRTH
1957-11-06,00593189,BIRTH
1958-01-01,00596379,BIRTH
1958-01-27,00597906,BIRTH
1958-03-13,00600414,BIRTH
1958-03-24,00601155,BIRTH
1958-04-01,00601881,BIRTH
1958-04-09,00602439,BIRTH
1958-07-03,00607415,BIRTH
1958-07-04,00607513,BIRTH
1958-09-30,00612001,BIRTH
1958-12-15,00616756,BIRTH
1958-12-30,00617663,BIRTH
1959-01-15,00618932,BIRTH
1959-04-07,00625235,BIRTH
1959-04-22,00626463,BIRTH
1959-06-02,00629333,BIRTH
1959-11-03,00641085,BIRTH
1960-02-15,SC034890,BIRTH
1960-03-25,00653963,BIRTH
1960-09-29,00671294,BIRTH
1960-10-10,00672169,BIRTH
1960-11-14,00674932,BIRTH
1960-12-07,00677225,BIRTH
1961-03-01,00684967,BIRTH
1961-04-17,00689968,BIRTH
1961-06-09,00695087,BIRTH
1961-07-28,00699626,BIRTH
1961-09-07,00702592,BIRTH
1961-11-02,00707170,BIRTH
1962-03-08,00717417,BIRTH
1962-05-03,00723002,BIRTH
1962-07-05,00729024,BIRTH
1962-07-06,00729049,BIRTH
1962-08-31,00734151,BIRTH
1962-10-18,00738228,BIRTH
1963-04-24,00758593,BIRTH
1963-06-10,00763629,BIRTH
1963-06-26,00765430,BIRTH
1963-09-02,00772580,BIRTH
1963-10-15,00777349,BIRTH
1963-10-31,00779350,BIRTH
1963-11-08,00780254,BIRTH
1963-12-10,00784085,BIRTH
1964-03-19,00797031,BIRTH
1964-03-31,00798869,BIRTH
1964-05-07,00804354,BIRTH
1964-06-08,00808174,BIRTH
1964-07-01,00811075,BIRTH
1964-07-22,00813564,BIRTH
1964-09-25,00820780,BIRTH
1964-12-04,00829933,BIRTH
1965-01-08,00833720,BIRTH
