SIC,mean,sd
46,0.00412054932317063,0.06512411596177378
70,0.002381843738760381,0.08967852438315568
74,0.0018691651281466104,0.08505119091359428
96,0.0036403303062175763,0.059569497853940286
55,0.00495273883908709,0.057679653943501455
65,0.006396145238564133,0.08626834872950498
68,0.0026791647726345236,0.07770646150841282
58,0.004281543228419116,0.0672549581147823
1,0.0018556520062062987,0.0841122581976561
14,0.004256857347112675,0.05095236977566429
36,0.0055475050304225615,0.05231906044940261
94,0.003310771726706685,0.06696045264685802
82,0.003173129250505058,0.07520360580334322
85,0.005442780036436501,0.063896332056011
93,0.003856457408660585,0.07441691331928017
91,0.0041422220532389975,0.0627441443737141
99,0.008302608152590096,0.06741292945298841
56,0.004586177515246925,0.05664839582304691
92,0.003991283172201321,0.07131594072087447
69,0.004535439578086997,0.06119671805513244
47,0.004095400389738879,0.07268230514689118
66,0.004701212590287662,0.06683100224693335
77,0.004747879398594668,0.05537118807500581
6,0.007908999574243625,0.07758665777069235
88,0.004889589581043907,0.0564396632396865
18,0.004344762329361096,0.06764370179025783
64,0.0046609133741246644,0.06670761224334935
72,0.006553717374943924,0.06587705425813652
22,0.005326563664528328,0.061610106439045756
17,0.0053566644224927185,0.06497714061830077
49,0.004991734962787264,0.07404354570606522
32,0.004048777373994339,0.07347995807763175
50,0.004360060991883907,0.07374849871554988
21,0.007459911704171374,0.09190841662969403
52,0.004957792555703611,0.07785023664017232
35,0.006111758613796869,0.06575100972053373
87,0.006191615349578905,0.047751733919406174
81,0.005397627070495847,0.059061284144501805
11,0.004894662714324705,0.06909749640223435
84,0.00681871121961497,0.05446262879183957
51,0.0063228992997819145,0.08516884057918543
41,0.0030756801734905803,0.08938392044067717
24,0.005304854244596813,0.07217425693269408
19,0.00530630342616889,0.06194668342174456
20,0.005608695922943108,0.0715410779788857
86,0.006054333579705418,0.06065834098928949
28,0.0051714264300246615,0.07757400673328962
60,0.005836444975950039,0.0766692775096934
29,0.0061653750663470674,0.07553607747384661
8,0.0045731182378392354,0.0555695295449241
15,0.004385333835162486,0.06529677240119407
63,0.00544145140503649,0.07275829468294025
13,0.0044657572309427795,0.0648994074417152
16,0.004553865691332204,0.0681568817799773
26,0.005825208482606925,0.07040463443160636
62,0.0045317761882497365,0.08999571610885222
80,0.0060334856886727906,0.07218586818513002
10,0.0060709281849189445,0.07444088899711175
25,0.0046370030792906025,0.07952690743235188
43,0.0033647016779410066,0.0906577992418558
33,0.005085122508921458,0.07981045635561684
23,0.0050339531053877895,0.06576927556089832
61,0.006368735304370654,0.05584191215881556
90,0.003436025510519025,0.09050972611780694
45,0.003983421072994098,0.08484056307303274
31,0.0055229226744450965,0.06618785146873131
30,0.007748779175749565,0.08549637933719631
27,0.0059425737034348725,0.0708189258077263
42,0.005545879898706696,0.08296452027907536
71,0.004735253231649805,0.09204725742714097
2,0.004221794317593064,0.07326596208527206
5,0.007404128053423165,0.058619626619613424
75,0.006894892395695296,0.043658375558505505
79,0.006238675877543676,0.0704267080939553
73,0.00644358861821015,0.08665276131793694
98,0.0014495384403381273,0.1111041246394839
78,0.00942875926134401,0.07837227725174997
3,0.003490405629385407,0.08030129872564537
38,0.00790967146976862,0.08258676269943084
95,0.006323989149351172,0.08158378225865903
59,0.005501759329285427,0.11167745015745831
12,0.009489806408657042,0.060239979282881696
39,0.007944757805093516,0.07795206809090903
53,0.01100190134824297,0.1080706400857465
9,0.01402747997075715,0.11594484434248799
7,0.008638591208860902,0.0671572520866227
97,0.003224069301670962,0.10708818188851578
37,0.01001358043020284,0.09970557539859716
