E06000001,475,2285,1810
E06000002,169,2534,2365
E06000003,150,2660,2510
E06000004,856,5081,4225
E06000005,497,3102,2605
E06000006,146,2841,2695
E06000007,8102,14332,6230
E06000008,1262,5032,3770
E06000009,1920,5070,3150
E06000010,1810,6820,5010
E06000011,-707,11438,12145
E06000012,1132,5037,3905
E06000013,-140,4515,4655
E06000014,1328,7113,5785
E06000015,3815,9540,5725
E06000016,4383,12768,8385
E06000017,-421,1314,1735
E06000018,4882,11652,6770
E06000019,-2634,6671,9305
E06000020,208,4383,4175
E06000021,1394,6464,5070
E06000022,2524,9684,7160
E06000023,11619,25429,13810
E06000024,486,7706,7220
E06000025,1704,9984,8280
E06000026,1396,6336,4940
E06000027,1177,4777,3600
E06000028,4122,9547,5425
E06000029,4630,9895,5265
E06000030,2163,7643,5480
E06000031,1117,6042,4925
E06000039,3037,6982,3945
E06000040,3540,11385,7845
E06000041,1242,8142,6900
E06000042,5385,14460,9075
E06000043,10133,20998,10865
E06000032,3255,7790,4535
E06000033,7508,13058,5550
E06000034,3923,8078,4155
E06000035,2264,8669,6405
E06000036,1304,5274,3970
E06000037,5196,12961,7765
E06000044,2634,7204,4570
E06000045,3186,8311,5125
E06000046,81,4291,4210
E06000047,-1150,10295,11445
E06000049,4233,20653,16420
E06000050,2068,13563,11495
E06000051,-2515,11530,14045
E06000052,-5389,15486,20875
E06000053,-148,42,190
E06000054,-562,18988,19550
E06000055,1871,7316,5445
E06000056,1108,11418,10310
E06000057,-2428,7447,9875
E07000004,657,8927,8270
E07000005,938,6303,5365
E07000006,2537,7077,4540
E07000007,3157,11452,8295
E07000088,162,1807,1645
E07000089,291,4646,4355
E07000090,1724,5134,3410
E07000091,315,7445,7130
E07000092,1381,4106,2725
E07000093,627,5687,5060
E07000094,2325,8710,6385
E07000095,2884,6124,3240
E07000096,2688,9153,6465
E07000098,6261,11471,5210
E07000099,2354,7984,5630
E07000102,2468,6598,4130
E06000038,3691,9126,5435
E07000008,1824,5984,4160
E07000009,-394,3271,3665
E07000010,-552,2558,3110
E07000011,529,7269,6740
E07000012,611,7531,6920
E07000026,-1048,2977,4025
E07000027,214,1859,1645
E07000028,-551,3354,3905
E07000029,-731,1454,2185
E07000030,-1621,1834,3455
E07000031,-1385,4540,5925
E07000032,-205,3705,3910
E07000033,59,1769,1710
E07000034,708,3458,2750
E07000035,-945,3325,4270
E07000036,-13,3147,3160
E07000037,327,3772,3445
E07000038,-331,2654,2985
E07000039,-575,2515,3090
E07000040,-1286,4429,5715
E07000041,1604,5094,3490
E07000042,-1486,2669,4155
E07000043,-1705,2800,4505
E07000044,-1390,3205,4595
E07000045,-386,4609,4995
E07000046,-1628,1652,3280
E07000047,-1469,1481,2950
E07000048,664,2339,1675
E07000049,243,4303,4060
E07000050,-479,2686,3165
E07000051,-200,1750,1950
E07000052,-173,4817,4990
E07000053,133,1743,1610
E07000061,2418,5043,2625
E07000062,885,3230,2345
E07000063,546,4241,3695
E07000064,202,3857,3655
E07000065,2736,10116,7380
E07000066,2682,8442,5760
E07000067,351,6206,5855
E07000068,1331,4811,3480
E07000069,800,3530,2730
E07000070,3234,9554,6320
E07000071,2477,8417,5940
E07000072,2171,8446,6275
E07000086,2004,6314,4310
E07000073,633,2778,2145
E07000074,267,3327,3060
E07000075,-115,2875,2990
E07000076,-977,2918,3895
E07000077,912,5547,4635
E07000078,2774,7199,4425
E07000079,-100,5330,5430
E07000080,-525,2975,3500
E07000087,1599,5339,3740
E07000081,1156,4176,3020
E07000082,-184,5081,5265
E07000083,159,3644,3485
