111,4097,18725
112,45,0
113,1017,9300
114,12,0
115,6,0
116,32,955
119,211,935
121,99,65
122,24,5
123,14,0
124,134,905
125,199,155
126,5,0
127,23,0
128,47,10
129,289,90
130,396,610
141,1463,14235
142,642,6135
143,1089,18625
144,45,35
145,556,28325
146,353,1550
147,991,3010
149,532,1380
150,4309,28770
161,1902,3850
162,2147,1780
163,326,60
164,67,10
170,578,265
201,8,0
202,4,0
210,1458,2410
220,521,585
230,36,5
240,1497,1060
311,1824,3345
312,559,170
321,391,260
322,224,170
501,9,0
502,5,0
510,157,10
520,3,0
610,2215,65
620,405,60
710,83,0
721,16,0
729,301,5
811,424,225
812,314,170
891,35,0
892,14,15
893,8,5
899,844,260
910,3902,210
990,649,135
1010,7,0
1011,508,340
1012,100,100
1013,718,555
1020,351,305
1030,1,0
1031,62,50
1032,205,70
1039,640,490
1041,149,55
1042,13,5
1051,495,365
1052,367,305
1061,238,135
1062,15,5
1071,2545,2495
1072,294,290
1073,37,20
1081,17,0
1082,716,395
1083,416,80
1084,478,200
1085,563,220
1086,78,140
1089,2022,755
1091,229,270
1092,293,185
1101,799,350
1102,180,30
1103,232,85
1104,105,0
1105,1696,1250
1106,21,10
1107,768,295
1110,14,0
1120,21,0
1200,131,5
1310,283,120
1320,259,230
1330,986,1060
1391,250,65
1392,1345,2060
1393,168,110
1394,61,80
1395,100,20
1396,212,205
1399,1260,275
1411,169,55
1412,416,350
1413,2723,2055
1414,299,155
1419,3562,1030
1420,14,5
1421,3,0
1422,2,0
1431,90,40
1439,164,160
1450,6,0
1511,154,35
1512,683,385
1513,16,0
1520,303,190
1531,1,0
1532,2,0
1533,11,0
1541,4,0
1551,6,0
1552,2,0
1561,2,0
1571,4,0
1572,1,0
1581,24,0
1582,1,0
1584,13,0
1586,1,0
1587,2,0
1589,14,0
1591,2,0
1594,1,0
1595,1,0
1596,5,0
1598,14,0
1600,2,0
1610,477,540
1621,124,120
1622,73,10
1623,2364,7000
1624,279,405
1629,1500,970
1711,54,5
1712,225,240
1713,1,0
1717,25,0
1721,561,415
1722,103,80
1723,884,285
1724,46,5
1729,539,405
1730,16,0
1740,22,0
1751,16,0
1752,3,0
1753,1,0
1754,16,0
1760,3,0
1771,10,0
1772,8,0
1811,137,30
1812,8269,9345
1813,877,1440
1814,207,305
1820,916,880
1821,6,0
1822,41,0
1823,11,0
1824,23,0
1910,19,0
1920,234,105
1930,6,0
2010,23,0
2011,51,20
2012,115,75
2013,255,100
2014,200,120
2015,101,60
2016,212,375
2017,12,0
2020,92,75
2030,527,400
2040,8,0
2041,539,360
2042,455,575
2051,70,15
2052,64,75
2053,66,55
2059,1010,495
2060,40,10
2110,984,190
2111,2,0
2112,10,0
2120,468,425
2121,20,0
2123,23,0
2124,1,0
2125,13,0
2211,121,35
2212,13,0
2213,57,0
2214,4,0
2215,18,0
2219,665,525
2221,253,460
2222,778,490
2223,304,1675
2224,1,0
2225,20,0
2229,3761,2570
2231,2,0
2232,1,0
2233,2,0
2311,142,0
2312,228,445
2313,23,45
2314,78,40
2319,213,235
2320,60,105
2331,36,60
2332,96,125
2341,132,205
2342,19,10
2343,11,10
2344,102,5
2349,99,45
2351,46,10
2352,14,5
2361,302,550
2362,56,40
2363,158,240
2364,15,5
2365,8,5
2369,117,100
2370,542,1165
2391,57,50
2399,291,175
2410,675,800
2412,2,0
2413,11,0
2414,2,0
2415,3,0
2416,10,0
2420,312,315
2430,6,0
2431,6,10
2432,11,5
2433,126,30
2434,21,25
2441,144,45
2442,151,125
2443,15,20
2444,31,35
2445,193,140
2446,11,5
2451,138,105
2452,125,80
2453,100,130
2454,94,100
2462,1,0
2463,2,0
2464,1,0
2465,1,0
2466,11,0
2470,4,0
2511,4757,3130
2512,808,1375
2513,15,0
2521,110,130
2522,3,0
2523,6,0
2524,98,0
2529,192,145
2530,16,95
2540,79,105
2550,369,600
2561,828,1320
2562,2890,14165
2571,113,30
2572,160,655
2573,728,1050
2591,37,30
2592,74,100
2593,346,410
2594,246,185
2599,7630,3485
2611,1257,595
2612,401,310
2613,4,0
2614,3,0
2615,3,0
2620,969,865
2621,6,0
2622,1,0
2625,17,0
2626,2,0
2630,609,1195
2640,874,520
2651,1866,2040
2652,88,70
2653,1,0
2660,79,135
2661,10,0
2663,2,0
2664,1,0
2666,1,0
2670,352,305
2680,38,35
2681,9,0
2682,3,0
2710,43,0
2711,384,305
2712,460,600
2720,86,60
2722,7,0
2731,16,40
2732,309,235
2733,86,60
2740,913,725
2741,1,0
2742,14,0
2743,1,0
2744,8,0
2745,8,0
2751,324,190
2752,42,130
2753,3,0
2754,4,0
2790,2564,705
2811,410,265
2812,183,165
2813,456,285
2814,198,155
2815,198,205
2821,167,175
2822,730,860
2823,56,125
2824,42,10
2825,316,815
2829,1061,1390
2830,346,515
2840,2,0
2841,172,420
2849,631,430
2851,18,0
2852,268,0
2861,5,0
2862,27,0
2871,2,0
2872,3,0
2873,10,0
2874,11,0
2875,205,0
2891,37,10
2892,211,255
2893,323,450
2894,91,135
2895,63,40
2896,183,490
2899,3241,500
2910,878,1005
2911,5,0
2912,10,0
2913,2,0
2920,855,875
2921,2,0
2922,39,0
2923,2,0
2924,52,0
2931,218,200
2932,1256,1185
2940,17,0
2942,3,0
2943,7,0
2952,11,0
2953,4,0
2954,18,0
2955,1,0
2956,23,0
2960,1,0
2971,9,0
3001,2,0
3002,25,0
3011,369,485
3012,556,500
3020,317,130
3030,727,835
3040,14,15
3091,74,100
3092,226,160
3099,956,90
3101,906,905
3102,1614,1280
3103,236,155
3109,4246,3890
3110,26,0
3120,3,0
3130,7,0
3140,1,0
3150,6,0
3161,2,0
3162,67,0
3210,26,0
3211,18,0
3212,1614,1275
3213,109,155
3220,313,270
3230,925,790
3240,755,590
3250,1429,2020
3291,49,50
3299,19407,4330
3310,8,0
3311,939,1025
3312,3989,4390
3313,775,400
3314,4108,1060
3315,1031,590
3316,2266,2095
3317,3770,1260
3319,6153,1175
3320,4098,2195
3330,2,0
3340,4,0
3350,4,0
3410,33,0
3420,15,0
3430,17,0
3511,7568,4145
3512,387,20
3513,749,60
3514,1879,640
3520,6,0
3521,161,5
3522,287,35
3523,242,70
3530,1065,25
3541,3,0
3542,1,0
3550,4,0
3600,1360,105
3611,35,0
3612,26,0
3613,14,0
3614,67,0
3615,5,0
3622,8,0
3630,1,0
3640,4,0
3650,6,0
3663,222,0
3700,713,985
3710,21,0
3720,40,0
3811,3476,2450
3812,209,110
3821,1385,1005
3822,246,100
3831,166,65
3832,2128,1710
3900,2327,915
4010,12,0
4011,8,0
4012,1,0
4013,7,0
4020,3,0
4022,2,0
4030,2,0
4100,9,0
4110,70249,36420
4120,52580,55540
4211,2684,3935
4212,3164,2690
4213,240,95
4221,657,500
4222,1196,770
4291,693,305
4299,15090,16330
4311,1176,745
4312,2757,3405
4313,463,260
4321,33740,44515
4322,24610,36085
4329,15137,7995
4331,4561,5550
4332,12435,26885
4333,6146,7910
4334,11691,14660
4339,28961,22815
4391,6779,8805
4399,44397,23650
4511,17164,18795
4512,7,0
4519,2352,1300
4520,26428,44230
4521,2090,0
4522,109,0
4523,35,0
4524,9,0
4525,538,0
4531,3492,4385
4532,4486,4205
4533,272,0
4534,261,0
4540,1954,2165
4541,48,0
4542,135,0
4543,79,0
4544,178,0
4545,308,0
4550,54,0
4611,646,665
4612,1141,1230
4613,2229,1555
4614,2937,2130
4615,1548,1170
4616,2678,1775
4617,1961,1180
4618,5711,4050
4619,5446,1490
4621,543,1070
4622,825,745
4623,126,440
4624,149,145
4631,2271,2235
4632,2507,2205
4633,716,775
4634,3839,3395
4635,141,125
4636,478,705
4637,894,660
4638,1516,1665
4639,1926,3420
4641,2277,2365
4642,5862,4710
4643,1205,2090
4644,314,630
4645,1819,1495
4646,2037,2675
4647,1424,2445
4648,1133,1250
4649,2908,5300
4651,1604,2070
4652,2686,2995
4661,798,1670
4662,670,970
4663,341,800
4664,71,135
4665,373,395
4666,663,1040
4669,2880,7990
4671,1026,1410
4672,1201,1560
4673,1640,5305
4674,1984,3380
4675,1285,1595
4676,2361,1775
4677,678,1680
4690,16144,12855
4711,14046,30740
4719,14241,6800
4721,1412,2835
4722,2438,5935
4723,665,1200
4724,1966,3460
4725,2130,4865
4726,647,1910
4729,3693,4575
4730,1236,2815
4741,1681,1455
4742,1763,1045
4743,877,685
4751,2257,1780
4752,2318,6165
4753,3336,3745
4754,1974,2790
4759,7298,10480
4761,977,1055
4762,1419,3405
4763,285,400
4764,4317,5180
4765,1033,925
4771,11962,11420
4772,1903,2680
4773,3855,5115
4774,1692,1360
4775,2028,1300
4776,2954,6570
4777,3198,4235
4778,12693,20915
4779,3022,3970
4781,604,1100
4782,1028,320
4789,2134,840
4791,29976,24960
4799,21502,7780
4910,660,55
4920,304,35
4931,1086,1775
4932,8065,7850
4939,4947,3260
4941,48829,52015
4942,1819,2285
4950,62,10
5010,1215,540
5020,2099,590
5030,453,200
5040,110,70
5050,21,0
5110,2345,555
5111,9,0
5112,7,0
5113,48,0
5114,52,0
5115,9,0
5116,6,0
5117,18,0
5118,22,0
5119,26,0
5121,744,205
5122,53,0
5124,2,0
5131,19,0
5132,57,0
5133,4,0
5134,54,0
5135,1,0
5136,2,0
5137,1,0
5138,18,0
5139,48,0
5141,36,0
5142,106,0
5143,87,0
5144,14,0
5145,8,0
5146,11,0
5147,68,0
5151,12,0
5152,16,0
5153,16,0
5154,10,0
5155,1,0
5156,27,0
5157,16,0
5164,4,0
5165,1,0
5170,8,0
5181,1,0
5182,4,0
5184,38,0
5185,8,0
5186,35,0
5187,7,0
5188,1,0
5190,342,0
5210,8315,9900
5211,43,0
5212,104,0
5221,2325,2645
5222,648,915
5223,1114,860
