E06000031,Peterborough,165,360,700,340,310,535,885,310,505,135,280,960,515,25,170,350,355,1,E06000031,67,455,689,263,280,447,778,226,685,229,400,1078,861,7,145,438,600
E06000032,Luton,10,350,935,230,255,565,655,295,630,110,260,"1,920","2,555",5,140,445,300,1,E06000032,21,444,1063,283,288,461,665,600,1009,197,534,1336,1010,7,237,810,1096
E06000033,Southend-on-Sea,25,375,"1,090",175,230,675,170,450,585,185,270,"1,155",635,5,115,380,440,1,E06000033,39,705,1988,267,305,700,299,778,1054,431,892,2041,1556,18,213,575,1639
E06000034,Thurrock,40,305,"1,250",250,220,365,880,245,450,65,125,875,510,0,100,335,250,1,E06000034,19,340,1303,191,177,270,767,201,671,138,241,949,741,15,137,523,561
E06000035,Medway,70,490,"1,760",290,310,580,480,480,560,110,200,"1,285",695,10,175,495,435,1,E06000035,37,641,1859,232,248,523,398,366,807,219,547,1478,1098,16,232,701,878
E06000036,Bracknell Forest,40,165,655,115,180,230,135,135,795,100,85,"1,025",505,5,95,180,275,1,E06000036,22,254,435,78,118,193,107,118,929,183,162,1071,556,7,85,192,889
E06000037,West Berkshire,330,515,"1,070",225,390,400,255,295,"1,165",160,300,"2,050",755,45,145,230,645,1,E06000037,119,685,1047,212,404,417,233,276,1859,310,648,2791,1242,7,159,203,1008
E06000038,Reading,15,210,575,165,210,375,315,315,"1,475",185,190,"1,485",650,5,125,395,350,1,E06000038,17,445,751,168,230,427,312,330,1831,278,537,1722,1019,9,183,421,771
E06000039,Slough,10,270,525,195,295,450,630,205,"1,185",100,140,895,465,0,80,320,235,1,E06000039,13,442,729,241,310,488,611,286,1423,199,347,1263,969,12,164,634,611
E06000040,Windsor and Maidenhead,80,370,815,195,395,505,220,350,"1,365",180,315,"2,500",935,15,185,360,605,1,E06000040,36,586,787,173,365,500,218,363,1799,431,708,2929,1277,6,220,355,1223
E06000041,Wokingham,90,325,920,180,305,380,195,215,"1,760",130,190,"2,145",820,15,120,300,465,1,E06000041,51,426,707,133,207,339,145,211,1881,317,436,1942,969,14,137,246,1111
E06000042,Milton Keynes,145,595,"1,200",325,540,640,580,420,"2,315",265,370,"2,445","1,110",35,220,655,665,1,E06000042,61,1055,1221,261,492,784,650,404,2723,448,807,3055,1856,17,343,935,1398
E06000043,Brighton and Hove,45,435,"1,330",175,405,"1,390",150,"1,025","1,930",205,495,"2,760","1,140",0,310,630,"1,240",1,E06000043,50,822,1869,206,443,1089,223,1014,6981,589,1718,5520,2506,30,470,884,3836
E06000044,Portsmouth,10,360,"1,010",195,175,440,200,555,400,75,190,845,505,0,95,305,415,1,E06000044,24,590,1351,198,146,380,227,623,992,200,422,1488,1084,39,130,474,1017
E06000045,Southampton,15,405,"1,055",250,210,470,480,505,465,115,200,"1,005",540,5,160,425,405,1,E06000045,39,639,1340,282,226,509,453,504,877,332,544,1500,1284,10,157,517,1025
E06000046,Isle of Wight,310,305,580,125,135,410,115,555,210,45,165,575,355,25,125,210,370,1,E06000046,53,356,488,80,69,229,87,263,388,87,308,628,349,5,103,121,791
E06000047,County Durham,"1,345",995,"1,890",555,415,"1,130",740,"1,130",475,170,325,"1,745",970,75,240,590,"1,000",1,E06000047,147,1166,1714,333,318,745,459,543,719,235,651,1864,1107,18,335,385,1001
E06000049,Cheshire East,"1,425","1,020","1,820",575,885,"1,245",645,885,"1,565",515,705,"4,280","2,045",75,325,805,"1,220",1,E06000049,214,1350,1886,386,696,1033,579,645,2112,757,1297,6199,2386,30,373,1123,1918
