la,0-4,5-9,10-19,20-49,50-99,100-249,250+
E07000129,2845,355,185,115,20,20,15
E07000130,3865,695,330,185,40,35,20
E07000131,3525,500,240,105,40,20,10
E07000132,3005,495,230,85,40,20,15
E07000133,1720,270,105,55,15,10,10
E07000134,2670,465,240,120,55,35,20
E07000135,1165,205,110,45,10,10,5
E07000136,1370,275,155,90,40,20,15
E07000137,3755,820,345,150,55,20,5
E07000138,1410,340,180,105,25,20,20
E07000139,3035,485,210,120,35,20,15
E07000140,2370,445,220,95,25,20,10
E07000141,3820,720,310,130,55,20,15
E07000142,2495,445,190,90,25,15,5
E07000143,3455,605,260,150,45,20,15
E07000144,3210,590,280,120,35,15,10
E07000145,1860,405,185,125,35,20,5
E07000146,3610,730,320,150,40,20,15
E07000147,2955,635,255,120,30,15,10
E07000148,2510,610,340,200,75,40,25
E07000149,3855,670,235,110,40,15,15
E07000150,950,235,110,75,25,20,10
E07000151,3150,415,205,105,35,15,5
E07000152,2670,400,165,85,25,20,10
E07000153,2280,365,165,100,35,25,15
E07000154,4615,815,400,230,85,70,35
E07000155,3760,505,220,100,25,20,10
E07000156,1965,345,190,110,35,25,10
E07000163,2450,400,170,90,20,20,10
E07000164,3680,650,270,120,30,15,10
E07000165,6070,1085,450,200,80,40,25
E07000166,1945,350,130,65,15,5,0
E07000167,2550,425,185,90,25,15,5
E07000168,2740,600,290,135,30,15,5
E07000169,2485,380,160,90,25,10,5
E07000170,1685,355,210,100,45,25,20
E07000171,2500,475,210,125,30,20,10
E07000172,2050,355,140,95,20,15,10
E07000173,2240,380,160,100,25,10,15
E07000174,1555,375,175,105,25,15,10
E07000175,3100,590,250,125,40,20,5
E07000176,3305,470,240,110,25,25,10
E07000177,4580,730,350,215,60,35,20
E07000192,2250,395,200,110,25,10,5
E07000178,2905,565,285,145,60,65,40
E07000179,5715,865,370,165,55,25,25
E07000180,3860,660,295,165,60,30,25
E07000181,3875,735,290,140,25,25,15
E07000187,3925,655,285,155,40,25,5
E07000188,3400,595,250,125,35,15,5
E07000189,4995,845,355,205,60,40,15
E07000190,3190,510,260,130,40,20,30
E07000191,1320,210,75,40,10,0,0
E07000193,3005,525,230,130,30,25,20
E07000194,3245,530,195,115,40,25,15
E07000195,2180,445,220,120,30,20,15
E07000196,2885,505,175,85,30,10,10
E07000197,3535,620,245,140,45,20,15
E07000198,2965,455,165,75,10,15,0
E07000199,1410,275,155,85,25,15,5
E07000200,2955,490,230,105,35,15,5
E07000201,1555,350,155,70,30,10,5
E07000202,2350,495,250,135,35,35,25
E07000203,3580,555,220,120,35,15,10
E07000204,2975,565,255,155,50,25,15
E07000205,3685,705,320,150,40,25,15
E07000206,2440,525,220,115,40,15,10
E07000207,6025,690,305,160,60,45,20
E07000208,2355,275,135,55,15,15,15
E07000209,4965,790,385,180,70,35,20
E07000210,3905,550,220,135,25,25,25
E07000211,4705,640,270,145,45,25,25
E07000212,2825,445,190,110,60,35,35
E07000213,3030,410,185,90,35,20,15
E07000214,3370,440,215,110,45,25,25
E07000215,3440,520,215,90,20,20,10
E07000216,5680,845,355,170,50,40,15
E07000217,3250,465,230,135,45,25,20
E07000218,1850,345,175,90,30,20,15
E07000219,2155,400,195,100,35,15,10
E07000220,2870,445,205,105,35,20,15
E07000221,5615,870,400,185,50,25,20
E07000222,4860,700,340,185,65,30,35
E07000223,1500,275,125,60,15,10,5
E07000224,3625,600,245,160,40,10,5
E07000225,4495,765,310,185,55,20,20
E07000226,1865,315,170,95,50,30,35
E07000227,4975,750,360,170,60,20,15
E07000228,4830,775,365,175,60,30,20
E07000229,2390,375,200,115,35,15,20
E07000234,3225,485,230,120,30,25,15
E07000235,3105,480,205,100,25,15,10
E07000236,1735,330,170,100,45,20,15
E07000237,1925,355,180,110,30,25,20
E07000238,4565,690,310,150,60,25,20
E07000239,2445,410,205,95,30,15,10
E07000240,5695,750,310,160,60,40,25
E07000241,3130,470,200,120,45,30,35
E07000242,5335,790,365,150,55,35,20
E07000243,1785,260,115,70,20,20,15
E08000001,5435,990,490,265,80,40,35
E08000002,4085,725,345,160,55,30,10
E08000003,9470,1930,1050,525,190,125,95
E08000004,3880,745,405,195,65,45,20
E08000005,3710,735,345,230,75,35,20
E08000006,4570,835,475,230,80,40,40
E08000007,7470,1260,655,285,105,45,30
E08000008,3745,685,360,205,60,30,15
E08000009,7025,1100,555,290,90,75,50
E08000010,5285,985,475,245,55,45,35
E08000011,1545,360,170,95,45,20,20
E08000012,6745,1505,715,415,165,95,60
E08000013,2525,505,270,165,55,20,15
E08000014,4675,850,460,215,65,35,15
E08000015,5055,995,490,245,65,45,20
E08000016,3695,680,355,200,60,30,20
E08000017,4610,945,435,250,65,45,35
E08000018,3815,770,415,235,90,40,25
E08000019,8990,1905,970,580,180,105,60
E08000021,4285,1060,515,285,100,65,60
E08000022,2755,600,275,155,55,30,20
E08000023,1655,385,190,95,40,20,10
E08000024,3075,750,395,200,60,35,30
E08000025,18075,3590,1790,870,325,190,130
E08000026,5540,935,435,260,65,50,50
E08000027,6100,1205,605,330,95,55,25
E08000028,4410,1030,535,325,120,55,35
E08000029,5310,700,335,195,60,40,35
E08000030,4330,840,440,270,100,40,30
E08000031,4055,855,440,250,80,45,30
E08000032,9190,1760,820,480,140,90,65
E08000033,5000,915,455,245,80,50,20
E08000034,8765,1715,845,405,145,65,55
E08000035,15405,2975,1495,810,320,170,125
E08000036,5430,1100,530,300,120,55,35
E08000037,2855,690,340,220,80,40,30
E09000001,8840,2055,1360,740,355,215,210
E09000002,2930,405,225,80,40,15,10
E09000003,14195,1775,675,280,95,45,30
E09000004,4850,725,305,170,50,40,15
E09000019,9305,1510,885,465,180,90,85
E09000005,9000,1220,515,255,90,55,35
E09000006,9150,1225,505,265,115,55,20
E09000007,16270,2775,1490,785,320,185,160
E09000008,8670,1150,490,270,85,65,45
E09000009,10280,1330,610,275,100,70,40
E09000010,7245,1050,435,210,65,30,30
E09000011,5140,575,270,135,40,30,10
E09000012,8410,1255,585,280,85,50,30
E09000013,8040,1105,575,285,120,65,60
E09000014,7080,890,350,150,45,20,10
E09000015,8340,1000,375,195,60,40,20
E09000016,5405,865,355,190,60,40,15
E09000017,7220,995,460,240,120,75,75
E09000018,7735,965,480,225,100,65,65
E09000020,8110,1345,675,310,115,55,45
E09000033,28035,6215,3615,1635,660,425,350
S12000005,705,150,85,25,5,5,5
E09000021,5320,745,325,155,45,40,25
S12000006,4365,1000,410,140,35,20,10
S12000008,2010,410,195,80,20,15,10
S12000010,1925,415,180,85,20,5,5
E09000022,8190,935,470,260,75,65,40
E09000023,5670,630,250,120,40,15,10
S12000011,1730,265,125,50,10,10,5
S12000013,805,135,65,30,5,0,0
S12000014,2300,435,220,105,40,25,15
S12000015,5670,1250,565,310,80,40,35
S12000017,7520,1355,635,265,70,40,20
S12000018,1040,215,115,45,25,10,10
S12000019,1350,305,145,90,20,5,5
S12000020,2135,425,195,100,25,10,10
S12000021,2010,440,185,95,25,15,10
S12000023,1115,150,85,35,5,5,0
S12000024,4025,835,405,170,45,30,15
S12000026,3510,745,280,130,30,25,10
S12000027,960,185,110,35,10,5,0
S12000028,2235,520,220,95,50,15,10
S12000029,5475,1065,535,245,75,35,30
S12000030,2650,475,205,105,35,10,15
E09000024,6600,725,370,195,75,30,15
E09000025,4890,670,275,125,45,20,20
E09000026,7290,835,365,170,50,25,15
E09000027,9050,1035,465,200,55,40,35
S12000033,5790,880,600,350,160,85,70
S12000034,10250,1465,635,325,90,40,20
S12000035,2780,565,225,85,20,10,5
S12000036,10875,2060,1085,490,170,115,105
S12000038,2775,545,310,140,55,25,30
S12000039,1055,235,105,60,25,10,5
S12000040,2660,540,255,140,45,35,20
E09000028,9030,1485,830,470,170,100,80
S12000041,2550,515,255,105,25,15,5
E09000029,5000,680,315,155,45,30,20
W06000016,3105,675,275,140,60,30,20
W06000018,2290,505,225,110,45,30,15
W06000019,685,180,75,40,15,5,5
W06000020,1225,285,155,70,10,15,10
W06000021,3105,475,205,85,30,10,10
W06000022,2305,455,230,120,40,20,20
W06000023,6990,910,330,150,35,20,10
W06000024,675,160,75,40,10,5,5
E09000030,8350,1280,605,330,135,95,75
E09000031,5395,715,325,120,45,25,10
E09000032,11375,1155,575,250,70,50,40
S12000042,1755,505,245,155,40,25,20
S12000044,4250,910,415,225,85,50,25
S12000045,1965,305,130,65,15,10,0
S12000046,9845,2355,1315,635,265,140,120
W06000001,1845,295,110,55,20,5,0
W06000002,3875,675,295,125,35,25,5
W06000003,2855,580,250,135,30,15,5
W06000004,2340,505,200,115,30,10,10
W06000005,3180,610,295,155,55,25,20
W06000006,2595,525,240,125,30,25,10
W06000008,3190,440,180,65,20,10,5
W06000009,4010,730,290,125,40,15,5
W06000010,5730,800,325,145,45,15,20
W06000011,3790,855,380,205,75,30,25
W06000012,1825,425,200,100,35,20,5
W06000013,2205,510,220,145,25,20,5
W06000014,2615,485,210,85,25,15,5
W06000015,6075,1335,670,325,130,85,50
