E06000001,0.5685179492985767,1.627969296817691,,1335,240,130,70,20,15,5
E06000002,0.7441672524877407,1.7076704976207449,,1640,360,190,120,35,20,20
E06000003,0.6472755586373182,1.5779246098841513,,1825,365,185,85,35,15,10
E06000004,0.37456946424195003,1.8043989602066037,,3185,505,270,170,65,30,20
E06000005,0.5739514367799152,1.7445763904057914,,1885,360,200,110,25,25,20
E06000006,0.8473486970132962,1.6696498523491283,,1820,420,240,135,60,20,20
E06000007,0.35316553104169013,1.8080985033119563,,4715,785,380,225,80,45,40
E06000008,0.6978278150784631,1.66432141594826,,2665,550,300,165,55,35,20
E06000009,0.8532403158467037,1.4581228331555829,,2190,505,280,115,40,20,10
E06000010,-0.1661834853532574,2.6529772119510615,,3225,870,495,270,90,60,35
E06000011,0.5529302436129299,1.4527562742378592,,9280,1680,695,340,100,50,20
E06000012,0.7015134746673005,1.5760202261085268,,2795,595,290,155,45,25,20
E06000013,0.5654930168479911,1.614332742870615,,3445,640,320,170,55,25,20
E06000014,0.6598764276978359,1.5981816183753048,,4175,870,420,210,70,40,30
E06000015,0.5139222803061253,1.7444821591669792,,4210,750,405,250,65,45,35
E06000016,0.7280088158485414,1.6175380481893473,,5915,1305,640,350,125,50,55
E06000017,0.39685043632545136,1.6453632816692059,,1335,205,105,70,10,10,5
E06000018,0.7642608899906485,1.7569976397196445,,4640,980,585,375,115,75,55
E06000019,0.4455967647410967,1.5161630729664732,,7225,1230,485,245,80,40,20
E06000020,0.5683674845846568,1.7606792793920345,,3015,600,285,175,60,40,30
E06000021,-0.13151482050368962,2.317499996500733,,3375,895,450,240,75,35,30
E06000022,0.4479800585060446,1.6490333964360973,,5430,970,430,235,55,40,40
E06000023,0.5206575086888542,1.6661279731433563,,10260,1805,955,550,150,90,60
E06000024,0.4277388860948507,1.5833229648275469,,5570,915,420,235,50,30,25
E06000025,0.34693958051069634,1.6922451436735713,,6395,1005,490,280,75,35,40
E06000026,0.8462556248869929,1.5426573013267095,,3390,850,370,235,60,35,30
E06000027,0.67642211568166,1.537812404356717,,2610,550,235,135,45,25,10
E06000028,0.4467988189088452,1.6811231632063657,,4095,700,350,190,55,35,25
E06000029,0.486064970444469,1.6671121026023836,,3940,720,335,175,55,40,25
E06000030,0.12021973093260648,2.044483056235105,,4215,620,310,190,85,60,45
E06000031,0.5526937217611845,1.7907229687968635,,3560,700,350,200,80,35,45
E06000039,0.11719087062641363,2.187155121287774,,2990,435,245,160,70,45,50
E06000040,0.06070445440825984,1.833515064876039,,6285,845,375,220,70,50,35
