E06000001,1310,231,143,98,15,15,3
E06000002,1672,293,213,143,39,21,4
E06000003,1853,310,188,127,31,9,2
E06000004,3193,422,295,226,64,36,9
E06000005,1940,273,203,147,36,19,7
E06000006,1855,356,250,163,56,29,6
E06000007,4766,673,394,279,95,48,15
E06000008,2673,467,313,231,68,32,6
E06000009,2242,460,249,159,35,13,2
E06000010,3753,377,311,321,117,91,75
E06000011,9293,1491,811,440,98,28,4
E06000012,2819,488,336,204,54,21,3
E06000013,3449,542,360,215,73,31,5
E06000014,4268,707,458,283,69,28,2
E06000015,4263,644,425,285,94,38,11
E06000016,5902,1092,733,506,141,50,16
E06000017,1334,164,131,82,19,8,2
E06000018,4670,831,620,438,159,80,27
E06000019,7253,1010,624,332,77,21,8
E06000020,3034,496,336,224,72,32,11
E06000021,3969,396,301,243,107,53,31
E06000022,5497,791,497,279,97,29,10
E06000023,10255,1613,1035,673,182,100,12
E06000024,5612,790,471,276,66,22,8
E06000025,6402,866,537,354,105,48,8
E06000026,3392,719,448,292,82,32,5
E06000027,2615,446,298,177,53,18,3
E06000028,4132,614,360,245,64,28,7
E06000029,3953,597,367,255,81,28,9
E06000030,4293,445,339,276,93,61,18
E06000031,3528,573,443,293,71,43,19
E06000039,2997,378,276,188,76,52,28
E06000040,6299,696,464,285,90,38,8
E06000041,5636,612,362,230,62,25,8
E06000042,7032,833,628,437,108,80,17
E06000043,8522,1198,688,365,82,30,5
E06000032,3465,482,284,237,64,39,9
E06000033,4373,577,369,180,50,19,2
E06000034,3276,416,254,161,45,14,4
E06000035,4933,695,413,275,81,22,6
E06000036,3230,299,222,168,39,31,16
E06000037,6052,765,487,330,99,53,19
E06000044,3321,595,372,222,55,19,6
E06000045,3755,586,405,285,90,27,7
E06000046,2977,635,346,208,41,9,4
E06000047,8480,1450,837,533,125,52,8
E06000049,12768,1785,1066,636,157,54,14
E06000050,8883,1234,764,475,125,46,13
E06000051,10932,1607,898,489,100,35,9
E06000052,15501,2826,1557,811,169,46,5
E06000053,151,27,7,5,0,0,0
E06000054,15304,2001,1271,762,196,69,12
E06000055,4221,553,359,232,69,33,3
E06000056,8181,1014,637,364,101,38,10
E06000057,7435,1262,718,382,79,18,1
E07000004,6752,794,410,258,53,16,2
E07000005,4492,429,237,164,42,13,3
E07000006,3624,410,276,158,50,31,6
E07000007,6581,762,496,329,102,46,14
E07000088,1251,186,125,61,19,8,0
E07000089,3573,398,201,144,38,20,1
E07000090,2701,327,198,153,28,14,4
E07000091,5449,795,505,282,79,27,8
E07000092,1998,296,193,175,60,20,8
E07000093,3799,602,359,234,57,20,4
E07000094,4740,761,531,271,71,26,10
E07000095,2562,328,182,128,37,13,5
E07000096,5204,623,366,209,60,21,7
E07000098,4164,485,306,185,57,32,6
E07000099,4322,600,424,207,64,17,6
E07000102,3429,297,221,139,43,13,3
E06000038,4123,511,394,295,80,55,12
E07000008,3098,446,302,206,71,47,20
E07000009,2852,383,258,139,24,13,1
E07000010,2405,339,205,122,35,9,0
E07000011,5185,715,469,274,85,32,5
E07000012,5401,665,426,331,79,41,12
E07000026,3124,451,273,140,33,12,2
E07000027,1262,170,110,80,20,6,2
E07000028,2891,457,291,199,58,27,7
E07000029,1776,188,132,75,16,1,2
E07000030,2717,385,242,90,21,5,0
E07000031,4533,690,398,222,71,16,5
E07000032,2958,433,241,192,64,28,9
E07000033,1251,198,132,96,30,14,4
E07000034,1899,360,237,190,52,26,1
E07000035,3357,476,265,140,33,11,3
E07000036,2259,405,281,161,49,11,4
E07000037,2685,376,236,113,32,7,1
E07000038,2263,362,186,130,32,16,1
E07000039,2432,336,182,117,23,9,1
E07000040,4256,773,418,228,38,11,1
E07000041,2369,490,341,212,66,23,9
E07000042,3336,428,249,115,26,5,1
E07000043,3440,508,338,176,35,13,5
E07000044,3497,556,338,169,32,13,0
E07000045,3717,629,377,204,60,11,2
E07000046,2601,362,190,100,20,7,0
E07000047,2365,328,157,87,12,6,0
E07000048,1281,175,107,92,19,6,5
E07000049,3182,459,250,140,22,12,0
E07000050,2508,318,208,108,21,7,0
E07000051,1436,284,155,64,7,4,0
E07000052,3706,674,360,209,43,12,1
E07000053,1237,202,96,58,14,6,2
E07000061,1910,334,209,109,45,24,4
E07000062,1755,294,156,105,23,11,6
E07000063,2876,403,240,151,28,6,1
E07000064,2953,350,201,119,36,3,3
E07000065,5994,714,410,212,44,16,0
E07000066,4327,642,424,276,77,27,7
E07000067,4521,628,408,229,61,14,4
E07000068,2736,383,219,123,26,3,0
E07000069,2219,258,152,77,18,11,0
E07000070,4974,656,404,233,56,17,5
E07000071,4596,608,408,247,70,36,5
E07000072,5003,647,394,192,36,21,2
E07000086,3286,472,304,182,61,22,3
E07000073,1595,250,163,96,37,14,5
E07000074,2388,351,207,95,18,6,0
E07000075,2372,316,170,103,23,9,2
E07000076,2906,483,300,168,44,4,0
E07000077,3736,511,245,121,24,10,3
E07000078,3385,465,329,181,62,15,3
E07000079,4257,614,352,177,31,8,1
E07000080,2770,382,217,116,16,4,0
E07000087,2927,380,220,157,47,15,4
E07000081,2407,200,143,124,84,44,33
E07000082,4083,532,374,214,57,12,3
E07000083,2684,394,235,138,37,11,1
E07000084,5227,539,352,278,81,47,21
