Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E07000141,1284,917,1653,1592,,E07000141,740,570,1315,2445,5070,,3.70500795933334,3.10856502373283,2.96236933567002,3.21827285357145,3.20194306340165
E07000142,834,540,890,793,,E07000142,420,330,820,1690,3260,,3.51321760006794,2.92116605063774,2.73239375982297,2.94939000664491,2.8992731873176
E07000143,955,591,1070,1187,,E07000143,600,435,1080,2430,4545,,3.65753388755799,2.98000337158375,2.77158748088125,3.02938377768521,3.07445071895459
E07000144,1083,648,1295,1436,,E07000144,540,430,1085,2135,4190,,3.6222140229663,3.03462845662532,2.81157500587059,3.11226976841727,3.15715443990628
E07000145,676,430,755,783,,E07000145,405,290,645,1270,2610,,3.41664050733828,2.82994669594164,2.63346845557959,2.87794695162919,2.89376176205794
E07000146,988,629,1304,1340,,E07000146,570,445,1180,2640,4835,,3.68439647841902,2.99475694458763,2.79865064544527,3.1152775913959,3.12710479836481
E07000147,599,399,813,1009,,E07000147,450,335,900,2315,4000,,3.60205999132796,2.77742682238931,2.60097289568675,2.91009054559407,3.00389116623691
E07000148,1483,923,1559,2090,,E07000148,670,465,1020,1720,3875,,3.58827170684233,3.17114115102838,2.96520170102591,3.19284611518884,3.32014628611105
E07000149,918,605,1160,1196,,E07000149,620,485,1190,2560,4855,,3.68618923424402,2.96284268120124,2.78175537465247,3.06445798922692,3.07773117965239
E07000150,587,304,483,493,,E07000150,275,190,375,625,1465,,3.16583762469013,2.76863810124761,2.48287358360875,2.68394713075151,2.69284691927723
E07000151,1144,823,1300,964,,E07000151,595,450,1025,1890,3960,,3.59769518592551,3.05842602445701,2.91539983521227,3.11394335230684,2.98407703390283
E07000152,928,623,1101,986,,E07000152,520,425,930,1505,3380,,3.52891670027765,2.96754797621886,2.79448804665917,3.04178731897175,2.99387691494121
E07000153,988,591,1094,1059,,E07000153,520,390,860,1280,3050,,3.48429983934679,2.99475694458763,2.77158748088125,3.03901732199741,3.02489596010748
