111,18670
112,0
113,9120
114,5
115,0
116,955
119,850
121,55
122,5
123,0
124,880
125,130
126,0
127,5
128,5
129,100
130,510
141,15890
142,5230
143,17655
144,30
145,29610
146,1385
147,2455
149,1525
150,27320
161,2225
162,1595
163,30
164,10
170,265
,
2,3505
210,2400
220,320
230,0
240,785
,
3,3830
311,3250
312,155
321,280
322,145
,
5,25
510,25
520,0
,
6,125
610,75
620,50
,
7,5
710,0
721,0
729,5
,
8,710
811,245
812,200
891,5
892,20
893,5
899,235
,
9,450
910,325
990,125
,
10,6600
1011,335
1012,95
1013,550
1020,320
1031,50
1032,50
1039,430
1041,60
1042,0
1051,350
1052,235
1061,130
1062,5
1071,2115
1072,220
1073,20
1081,0
1082,340
1083,60
1084,120
1085,95
1086,40
1089,600
1091,245
1092,135
,
11,1185
1101,115
1102,30
1103,65
1104,5
1105,735
1106,10
1107,225
,
12,10
1200,10
,
13,3790
1310,125
1320,195
1330,780
1391,75
1392,1915
1393,130
1394,75
1395,15
1396,150
1399,330
,
14,3405
1411,45
1412,240
1413,1810
1414,135
1419,940
1420,10
1431,50
1439,175
,
15,565
1511,55
1512,315
1520,195
,
16,7250
1610,560
1621,130
1622,10
1623,5070
1624,390
1629,1090
,
17,1510
1711,0
1712,240
1721,455
1722,75
1723,310
1724,10
1729,420
,
18,13145
1811,35
1812,9995
1813,1795
1814,290
1820,1030
,
19,140
1910,5
1920,135
,
20,2485
2011,15
2012,80
2013,95
2014,135
2015,60
2016,345
2017,5
2020,60
2030,405
2041,345
2042,325
2051,20
2052,60
2053,45
2059,475
2060,15
,
21,510
2110,170
2120,340
,
22,5650
2211,50
2219,520
2221,475
2222,440
2223,1605
2229,2560
,
23,3590
2311,0
2312,430
2313,40
2314,45
2319,270
2320,85
2331,80
2332,130
2341,190
2342,10
2343,5
2344,5
2349,75
2351,5
2352,5
2361,495
2362,40
2363,200
2364,5
2365,5
2369,120
2370,1120
2391,70
2399,160
,
24,1400
2410,240
2420,280
2431,5
2432,5
2433,20
2434,20
2441,55
2442,130
2443,20
2444,55
2445,80
2446,5
2451,125
2452,120
2453,130
2454,110
,
25,24535
2511,3055
2512,1155
2521,115
2529,155
2530,75
2540,115
2550,730
2561,1260
2562,11505
2571,35
2572,560
2573,1100
2591,35
2592,60
2593,420
2594,155
2599,4005
,
26,5810
2611,560
2612,335
2620,700
2630,1325
2640,540
2651,1950
2652,60
2660,85
2670,235
2680,20
,
27,2940
2711,260
2712,695
2720,50
2731,40
2732,220
2733,65
2740,670
2751,180
2752,90
2790,670
,
28,7840
2811,195
2812,120
2813,320
2814,175
2815,215
2821,160
2822,880
2823,100
2824,10
2825,865
2829,1475
2830,395
2841,400
2849,535
2891,15
2892,220
2893,410
2894,140
2895,40
2896,710
2899,460
,
29,2575
2910,635
2920,745
2931,140
2932,1055
,
30,1885
3011,385
3012,545
3020,60
3030,575
3040,5
3091,70
3092,105
3099,140
,
31,6075
3101,895
3102,1185
3103,120
3109,3875
,
32,9850
3211,0
3212,1255
3213,105
3220,265
3230,595
3240,485
3250,1780
3291,45
3299,5320
,
33,13185
3311,675
3312,2845
3313,245
3314,930
3315,465
3316,755
3317,750
3319,5240
3320,1280
,
35,2055
3511,1580
3512,5
3513,75
3514,285
3521,10
3522,35
3523,50
3530,15
,
36,105
3600,105
,
37,935
3700,935
,
38,5250
3811,2245
3812,105
3821,905
3822,85
3831,50
3832,1860
,
39,630
3900,630
,
41,68390
4110,28895
4120,39495
,
42,19765
4211,2465
4212,485
4213,55
4221,230
4222,305
4291,295
4299,15930
,
43,169275
4311,525
4312,2255
4313,265
4321,37640
4322,30075
4329,8410
4331,4110
4332,21130
4333,6340
4334,13050
4339,18875
4391,6775
4399,19825
,
45,67595
4511,19515
4519,1025
4520,36690
4531,4825
4532,3395
4540,2145
,
46,103010
4611,755
4612,1255
4613,1635
4614,2355
4615,1240
4616,2215
4617,1495
4618,4835
4619,1740
4621,1060
4622,940
4623,350
4624,155
4631,2050
4632,2155
4633,715
4634,3480
4635,60
4636,560
4637,435
4638,1600
4639,2760
4641,2045
4642,4135
4643,2325
4644,525
4645,1020
4646,2285
4647,2175
4648,1200
4649,5240
4651,2205
4652,2960
4661,1620
4662,975
4663,745
4664,140
4665,330
4666,1105
4669,7925
4671,1385
4672,1475
4673,4930
4674,2965
4675,1475
4676,1590
4677,1490
4690,14900
,
47,187560
4711,29010
4719,8385
4721,3235
4722,6110
4723,1200
4724,3285
4725,4490
4726,2115
4729,4850
4730,3195
4741,1465
4742,835
4743,670
4751,1390
4752,5240
4753,3660
4754,2800
4759,10170
4761,1045
4762,4275
4763,410
4764,4585
4765,670
4771,10150
4772,2905
4773,4680
4774,1215
4775,840
4776,5620
4777,4010
4778,23005
4779,3830
4781,745
4782,360
4789,795
4791,16185
4799,10130
,
49,42630
4910,70
4920,25
4931,1870
4932,6435
4939,2935
4941,29650
4942,1635
4950,10
,
50,1505
5010,570
5020,670
5030,185
5040,80
,
51,920
5110,645
5121,275
5122,0
,
52,9655
5210,2820
5221,1450
5222,750
5223,725
5224,375
5229,3535
,
53,12775
5310,1765
5320,11010
,
55,15150
5510,9355
5520,3330
5530,1790
5590,675
,
56,113780
5610,64890
5621,5755
5629,1910
5630,41225
,
58,9985
5811,2080
5812,90
5813,385
5814,2955
5819,2735
5821,100
5829,1640
,
59,19085
5911,13465
5912,2240
5913,565
5914,220
5920,2595
,
60,1925
6010,920
6020,1005
,
61,7690
6110,1205
6120,930
6130,160
6190,5395
,
62,119620
6201,28870
6202,70720
6203,380
6209,19650
,
63,7195
6311,2920
6312,1385
6391,710
6399,2180
,
64,14565
6411,0
6419,690
6420,5190
6430,1370
6491,360
6492,1330
6499,5625
,
65,6105
6511,365
6512,970
6520,20
6530,4750
,
66,24880
6611,280
6612,5010
6619,11150
6621,725
6622,3385
6629,3240
6630,1090
,
68,79885
6810,3395
6820,48305
6831,16565
6832,11620
,
69,66435
6910,30420
6920,36015
,
70,131900
7010,2240
7021,3285
7022,126375
,
71,77355
7111,12975
7112,60155
7120,4225
,
72,3915
7211,515
7219,2955
7220,445
,
73,21320
7311,14885
7312,3220
7320,3215
,
74,61720
7410,19060
7420,7520
7430,950
7490,34190
,
75,3465
7500,3465
,
77,15865
7711,2975
7712,825
7721,880
7722,140
7729,1175
7731,430
7732,3800
7733,355
7734,290
7735,250
7739,4135
7740,610
,
78,19920
7810,7490
7820,10690
7830,1740
,
79,6675
7911,3820
7912,1775
7990,1080
,
80,7390
8010,4890
8020,1815
8030,685
,
81,32350
8110,2210
8121,8165
8122,2625
8129,3540
8130,15810
,
82,61050
8211,2745
8219,2000
8220,690
8230,3470
8291,675
8292,1160
8299,50310
,
84,5320
8411,5000
8412,150
8413,35
8421,0
8422,20
8423,20
8424,55
8425,40
8430,0
,
85,34845
8510,2925
8520,4125
8531,2780
8532,2195
8541,820
8542,1145
8551,1770
8552,830
8553,1155
8559,15125
8560,1975
,
86,45785
8610,2260
8621,15510
8622,2555
8623,10765
8690,14695
,
87,10810
8710,2385
8720,585
8730,4110
8790,3730
,
88,32845
8810,5715
8891,10975
8899,16155
,
90,28435
9001,8685
9002,2400
9003,16530
9004,820
,
91,1595
9101,305
9102,560
9103,400
9104,330
,
92,1295
9200,1295
,
93,25860
9311,3405
9312,8870
9313,1665
9319,7000
9321,405
9329,4515
,
94,19195
9411,1210
9412,1560
9420,340
9491,8845
9492,940
9499,6300
,
95,7280
9511,3645
9512,225
9521,770
9522,850
9523,475
9524,525
9525,295
9529,495
,
96,61930
9601,3310
9602,27605
9603,1475
9604,1135
9609,28405
,
97,0
9700,0
,
98,0
9810,0
9820,0
,
99,10
9900,10
