la,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total
E07000108,2555,445,215,110,30,20,5,3380
E07000109,3065,440,175,105,25,20,10,3840
E07000110,5590,835,410,210,75,45,30,7195
E07000111,5310,705,345,180,55,25,20,6640
E07000112,2865,500,220,120,30,15,10,3760
E07000113,3705,630,270,140,45,35,20,4845
E07000114,2870,495,245,115,35,25,10,3795
E07000115,4385,610,300,185,55,30,20,5585
E07000116,5065,635,365,180,55,25,10,6335
E07000117,1890,320,190,105,35,15,10,2565
E07000118,3445,480,245,130,40,20,10,4370
E07000119,2485,400,185,125,30,15,10,3250
E07000120,1620,315,180,105,30,20,5,2275
E07000121,3465,600,265,165,40,30,15,4580
E07000122,2145,360,170,105,40,20,10,2850
E07000123,3890,620,345,185,60,30,25,5155
E07000124,2630,390,165,95,30,10,5,3325
E07000125,2000,315,165,70,20,15,10,2595
E07000126,2945,465,245,155,45,30,15,3900
E07000127,3315,595,295,170,50,25,15,4465
E07000128,3310,490,230,130,35,15,10,4220
E07000129,3450,415,235,135,40,25,20,4320
E07000130,6050,795,425,235,70,35,20,7630
E07000131,4150,565,290,135,45,25,15,5225
E07000132,3590,535,250,125,50,25,20,4595
E07000133,1980,315,130,60,25,10,5,2525
E07000134,3145,505,270,150,60,45,25,4200
E07000135,1550,210,120,60,5,15,5,1965
E07000136,1610,275,165,90,30,25,15,2210
E07000137,4025,820,355,180,55,20,5,5460
E07000138,1795,355,175,125,30,25,25,2530
E07000139,3355,460,215,140,45,25,10,4250
E07000140,3200,450,215,110,35,10,15,4035
E07000141,4590,730,325,175,50,35,15,5920
E07000142,2930,465,190,115,25,20,5,3750
E07000143,3910,620,300,165,50,35,15,5095
E07000144,4210,575,275,165,40,20,10,5295
E07000145,2095,410,195,130,35,20,5,2890
E07000146,4095,730,345,200,65,15,15,5465
E07000147,3185,655,290,155,30,15,5,4335
E07000148,3175,650,360,220,70,60,40,4575
E07000149,4520,625,280,145,50,25,20,5665
E07000150,1720,250,140,80,30,20,10,2250
E07000151,3675,470,240,115,40,15,5,4560
E07000152,3170,420,180,105,25,20,10,3930
E07000153,3085,365,185,120,35,20,15,3825
E07000154,7310,865,470,275,105,65,50,9140
E07000155,4305,555,255,135,30,20,10,5310
E07000156,2500,380,195,130,40,25,10,3280
E07000163,2870,395,205,105,30,15,5,3625
E07000164,4160,660,320,150,40,15,10,5355
E07000165,7150,1070,485,240,95,50,35,9125
E07000166,2145,330,165,90,25,5,0,2760
E07000167,2785,455,215,110,15,20,10,3610
E07000168,2915,675,330,170,20,15,10,4135
E07000169,3030,410,195,95,30,10,10,3780
E07000170,2100,375,210,110,40,35,20,2890
E07000171,3070,525,265,120,50,15,10,4055
E07000172,2715,365,175,100,25,20,15,3415
E07000173,2720,385,195,85,30,15,15,3445
E07000174,2040,340,185,115,30,25,10,2745
E07000175,3755,580,285,155,50,20,5,4850
E07000176,4370,555,270,125,45,20,15,5400
E07000177,5205,700,390,240,65,50,20,6670
E07000178,3535,600,360,185,75,75,35,4865
E07000179,6560,870,435,215,75,35,20,8210
E07000180,4445,665,330,190,55,40,35,5760
E07000181,4370,690,315,155,35,35,20,5620
E07000187,4465,670,365,175,50,25,10,5760
E07000188,3775,640,255,155,40,15,10,4890
E07000189,5640,785,385,245,70,35,15,7175
E07000190,3690,545,260,165,50,20,30,4760
E07000191,1390,235,90,45,10,5,0,1775
E07000192,2540,460,225,125,25,15,10,3400
E07000193,3690,550,255,155,40,20,20,4730
E07000194,3895,640,285,160,50,35,25,5090
E07000195,2695,455,235,125,45,15,20,3590
E07000196,3295,525,200,125,35,10,10,4200
E07000197,4140,610,285,165,50,40,15,5305
E07000198,3365,485,185,95,20,10,5,4165
E07000199,1750,285,160,90,30,15,5,2335
E07000200,3195,485,225,120,45,20,10,4100
E07000201,1830,345,170,95,35,10,5,2490
E07000202,2970,540,275,155,60,35,30,4065
E07000203,3810,560,255,145,50,20,15,4855
E07000204,3400,610,280,175,60,20,20,4565
E07000205,4190,750,360,185,40,25,15,5565
E07000206,2835,500,235,125,30,25,10,3760
E07000207,7370,720,370,170,65,40,25,8760
E07000208,3115,290,150,80,15,20,15,3685
E07000209,5870,825,380,220,85,35,25,7440
E07000210,4335,570,245,140,50,30,25,5395
E07000211,5850,660,330,165,45,30,25,7105
E07000212,3385,420,220,110,50,45,35,4265
E07000213,3800,415,190,95,40,20,15,4575
E07000214,3810,425,245,125,45,35,25,4710
E07000215,4015,525,230,105,35,15,10,4935
E07000216,6685,805,415,185,50,45,15,8200
E07000217,4125,465,245,145,55,30,25,5090
E07000218,2145,365,175,100,35,20,15,2855
E07000219,2840,395,235,125,35,20,15,3665
E07000220,4210,435,215,125,40,25,25,5075
E07000221,6500,845,460,235,65,35,15,8155
E07000222,6205,755,400,225,70,40,40,7735
E07000223,1815,265,140,75,15,10,5,2325
E07000224,4175,655,295,170,50,15,5,5365
E07000225,5225,760,345,205,60,35,15,6645
E07000226,2590,370,225,130,50,35,35,3435
E07000227,6040,805,395,210,60,20,15,7545
E07000228,5890,765,405,190,60,30,20,7360
E07000229,2860,420,230,105,40,25,15,3695
E07000234,5325,1110,495,165,45,25,20,7185
E07000235,3440,465,195,115,35,15,10,4275
E07000236,2065,330,205,110,45,30,20,2805
E07000237,2300,380,205,125,30,20,25,3085
E07000238,5100,715,335,170,55,35,20,6430
E07000239,2695,420,200,105,30,20,10,3480
E07000240,7805,835,410,185,65,45,30,9375
E07000241,4010,505,240,145,55,25,35,5015
E07000242,8210,1165,460,195,75,50,15,10170
E07000243,2590,290,140,80,20,15,15,3150
E08000001,6950,1090,575,295,105,60,35,9110
E08000002,6120,1050,485,215,70,20,20,7980
E08000003,17545,2345,1350,710,270,150,115,22485
E08000004,5290,870,465,230,70,45,25,6995
E08000005,5165,735,400,255,70,40,25,6690
E08000006,6765,945,525,320,100,45,40,8740
E08000007,9135,1300,685,330,120,50,45,11665
E08000008,4690,750,380,235,60,35,15,6165
E08000009,9430,1165,610,345,135,70,70,11825
E08000010,6795,1060,565,280,80,45,30,8855
E08000011,2525,375,210,120,40,35,20,3325
E08000012,10265,1600,875,465,170,95,70,13540
E08000013,3450,575,285,200,55,35,15,4615
E08000014,6075,935,470,245,60,40,20,7845
E08000015,6695,1055,530,280,75,55,20,8710
E08000016,4865,750,390,240,60,35,25,6365
E08000017,7500,1030,475,290,90,55,35,9475
E08000018,5510,830,430,260,115,60,25,7230
E08000019,11745,2010,1115,640,215,115,65,15905
E08000021,5545,1170,610,350,105,80,65,7925
E08000022,3795,650,325,175,55,30,30,5060
E08000023,2540,455,185,105,40,25,15,3365
E08000024,4105,890,445,235,65,45,35,5820
E08000025,27755,5340,2250,1035,375,210,150,37115
E08000026,8070,940,565,295,90,50,55,10065
E08000027,7170,1245,665,340,85,65,25,9595
E08000028,6490,1090,580,365,125,65,40,8755
E08000029,6660,765,395,215,90,50,40,8215
E08000030,5755,930,495,295,95,50,40,7660
E08000031,5785,855,470,275,90,50,35,7560
E08000032,11950,1875,950,545,175,110,60,15665
E08000033,6170,975,525,255,95,60,20,8100
E08000034,11180,1875,940,500,160,75,50,14780
E08000035,21760,3085,1745,955,350,180,150,28225
E08000036,7240,1140,585,335,120,70,50,9540
E08000037,3545,725,415,245,85,40,30,5085
E09000001,18260,2460,1775,975,430,275,245,24420
E09000002,5810,525,255,120,40,25,10,6785
E09000003,19740,1915,835,350,125,70,30,23065
E09000004,7410,740,375,200,75,40,20,8860
E09000005,12410,1400,635,280,95,65,50,14935
E09000006,12720,1305,560,325,115,55,35,15115
E09000007,22860,3085,1665,1010,370,255,195,29440
E09000008,12505,1255,600,265,110,55,35,14825
E09000009,14945,1585,760,360,130,65,40,17885
E09000010,10785,1215,540,270,95,40,20,12965
E09000011,8705,640,350,160,50,30,20,9955
E09000012,15715,1630,940,475,135,65,35,18995
E09000013,10305,1160,650,335,165,80,60,12755
E09000014,10405,1005,445,210,45,30,10,12150
E09000015,12280,1075,480,220,75,40,25,14195
E09000016,8070,950,435,190,80,50,20,9795
E09000017,10770,1160,550,340,155,100,85,13160
E09000018,11115,1120,560,265,120,75,70,13325
E09000019,14480,1855,1100,625,200,125,100,18485
E09000020,10360,1435,770,400,130,70,50,13215
E09000021,7140,670,345,190,55,35,35,8470
E09000022,12500,1100,630,345,90,50,45,14760
E09000023,8755,710,310,130,35,25,15,9980
E09000024,9775,795,420,230,90,35,20,11365
E09000025,10515,865,395,160,50,25,25,12035
E09000026,11910,1070,470,195,55,25,20,13745
E09000027,11280,995,545,230,80,45,35,13210
E09000028,12900,1550,1010,615,215,135,95,16520
E09000029,6900,760,310,195,55,30,20,8270
E09000030,13610,1590,805,470,170,110,85,16840
E09000031,9295,865,410,160,45,35,15,10825
E09000032,15090,1285,600,280,100,40,45,17440
E09000033,33890,6460,3920,2010,765,440,385,47870
S12000005,865,135,80,35,5,5,5,1130
