la,"(0, 4)","(5, 40)","(41, 44)","(45, 46)","(46, 47)","(47, 48)","(49, 54)","(55, 57)","(58, 64)","(64, 67)","(68, 69)","(69, 76)","(77, 83)","(84, 85)","(85, 86)","(86, 89)","(90, 100)",Total
E09000014,15,450,1250,165,550,1005,290,615,1635,100,515,2490,1105,0,240,595,1130,12150
E09000015,15,330,1945,255,710,990,475,485,2135,260,795,3105,1085,0,240,700,670,14195
E09000016,30,440,2195,300,370,710,510,475,795,170,250,1420,850,0,180,610,490,9795
E09000017,30,525,1895,350,605,950,910,575,1765,185,420,2205,1110,5,275,655,700,13160
E09000018,20,395,1305,275,650,905,795,555,2580,190,385,2515,1130,0,210,575,840,13325
E09000019,20,510,895,75,565,1105,205,900,3350,490,620,5510,1640,5,300,755,1540,18485
E09000020,40,320,715,70,500,1240,160,725,1220,455,965,3445,1395,5,215,530,1215,13215
E09000021,15,275,845,145,320,535,145,350,1340,130,280,2215,765,0,155,400,555,8470
E09000022,10,335,945,130,340,915,215,830,2300,200,425,3810,1900,5,310,875,1215,14760
E09000023,5,310,935,145,215,755,220,560,1545,125,205,2255,890,0,235,740,840,9980
E09000024,15,330,1380,210,405,655,320,400,1560,175,370,2850,1175,0,225,615,680,11365
E09000025,5,335,1530,185,470,1200,475,535,1390,145,375,2130,1855,0,255,675,475,12035
E09000026,15,355,1925,240,540,1060,450,545,2115,195,530,2800,1105,0,300,900,670,13745
E09000027,20,310,800,115,345,765,160,505,2210,205,445,4035,1210,0,285,560,1240,13210
E09000028,20,530,865,110,460,1210,270,860,2520,380,475,4460,1505,5,635,845,1370,16520
E09000029,35,290,1575,180,270,525,215,370,1130,130,190,1545,730,0,145,465,475,8270
E09000030,10,570,740,145,770,1185,425,890,3055,540,680,4310,1500,5,370,660,985,16840
E09000031,10,410,1835,195,510,935,410,545,1160,120,275,2015,975,0,200,575,655,10825
E09000032,30,475,1175,125,590,1065,225,755,2490,265,610,5245,1785,0,300,885,1420,17440
E09000033,100,1350,2830,100,1540,2690,445,2400,5085,3840,4955,11715,4575,35,535,1540,4135,47870
S12000005,50,85,160,30,50,100,45,100,65,5,35,185,80,0,15,35,90,1130
S12000006,2060,320,630,170,200,445,200,555,95,40,95,450,345,0,50,230,390,6275
S12000008,450,230,395,125,100,300,145,235,110,25,70,410,230,0,15,110,270,3220
S12000010,305,145,380,70,100,255,85,240,240,45,85,530,255,0,40,135,225,3135
S12000011,65,120,295,50,85,205,60,125,230,45,140,640,225,0,30,140,230,2685
S12000013,290,105,100,40,20,100,40,100,40,10,20,100,70,0,10,45,75,1165
S12000014,110,260,475,130,135,310,180,285,255,45,75,760,280,0,35,125,310,3770
S12000015,615,685,1175,310,285,815,315,750,550,125,225,1780,725,5,100,350,770,9580
S12000017,2185,620,1440,280,240,735,325,1075,240,65,310,1405,730,10,95,355,645,10755
S12000018,35,120,180,45,50,180,50,145,85,15,55,360,105,0,20,95,145,1685
S12000019,115,165,360,80,75,145,75,160,195,45,55,385,195,0,25,90,195,2360
S12000020,630,200,455,115,75,255,95,260,75,30,65,400,210,0,30,95,205,3195
S12000021,235,240,465,100,85,305,125,335,105,30,85,560,220,0,25,115,270,3300
S12000023,660,85,135,30,25,90,50,70,20,0,15,105,80,0,5,35,65,1470
S12000024,970,360,745,185,210,420,155,515,255,75,200,855,470,0,65,215,440,6135
S12000026,1205,285,610,160,140,355,140,365,180,50,125,610,310,0,55,135,320,5045
S12000027,600,90,150,25,25,90,50,85,20,5,20,145,70,0,10,35,70,1490
S12000028,410,190,450,105,130,330,115,300,120,55,125,520,235,0,40,130,310,3565
S12000029,600,675,1225,305,400,720,455,590,515,150,225,1395,610,0,95,310,670,8940
S12000030,380,160,410,70,140,285,95,325,270,135,150,750,265,5,55,135,255,3885
S12000033,85,500,630,135,265,460,240,490,430,150,315,3375,765,5,105,295,455,8700
S12000034,2975,920,1475,340,335,625,350,590,375,90,245,3710,995,0,110,280,585,14000
S12000035,825,235,390,80,100,395,110,465,90,15,85,410,220,0,35,145,270,3870
S12000036,150,595,1460,230,425,1270,270,1615,2440,835,820,4380,1405,15,290,920,1410,18530
S12000038,120,325,650,140,180,395,175,325,225,80,120,855,340,0,60,195,380,4565
S12000039,45,160,260,65,60,165,70,170,90,25,50,270,135,0,20,80,165,1830
S12000040,135,300,575,180,180,345,220,285,475,75,120,800,330,0,55,170,315,4560
S12000041,665,270,495,110,120,295,135,285,90,20,90,690,255,0,45,130,245,3940
S12000042,25,220,405,120,120,325,95,340,170,70,160,490,210,5,50,190,320,3315
S12000044,125,520,1210,275,260,660,585,590,380,120,185,1105,545,0,65,275,560,7460
S12000045,45,145,400,65,90,215,95,140,265,60,115,710,210,0,40,145,270,3010
S12000046,30,970,1605,415,675,1870,455,1675,1575,465,915,3310,1300,5,260,1010,1525,18060
W06000001,605,130,305,85,70,185,80,260,60,15,60,220,145,20,30,90,135,2495
W06000002,1230,265,645,160,115,460,150,675,160,40,95,405,325,25,65,180,330,5325
W06000003,700,205,490,160,120,370,135,545,145,55,105,475,295,20,55,220,285,4380
W06000004,590,215,410,135,125,280,160,310,155,40,80,380,275,15,60,205,215,3650
W06000005,345,420,645,240,210,360,295,310,260,90,125,815,400,30,90,195,310,5140
W06000006,375,335,540,145,185,265,200,260,140,60,130,585,320,15,55,195,275,4080
W06000008,1365,185,415,125,100,290,105,335,120,20,100,250,235,30,40,105,195,4015
W06000009,1365,305,610,160,145,420,140,660,125,50,90,505,340,40,50,195,325,5525
W06000010,2150,430,870,270,225,530,260,530,195,75,145,625,515,40,125,285,450,7720
W06000011,225,375,815,250,215,570,220,595,340,125,240,830,500,15,105,325,520,6265
W06000012,125,235,445,120,100,280,130,315,135,45,55,340,245,15,50,145,240,3020
W06000013,105,410,475,165,125,325,180,300,165,75,100,465,255,20,55,175,260,3655
W06000014,175,275,500,155,130,345,125,290,280,80,165,725,360,20,90,220,315,4250
W06000015,40,485,1170,320,380,860,275,760,965,495,525,2155,1075,20,225,675,815,11240
W06000016,110,405,1035,230,150,1115,255,475,200,80,130,660,390,5,85,260,415,6000
W06000018,125,390,595,190,150,345,205,335,165,60,90,495,275,15,60,160,305,3960
W06000019,20,120,200,90,40,145,60,135,25,20,20,100,85,0,20,60,85,1225
W06000020,55,200,340,100,90,175,85,160,100,40,40,225,185,5,30,110,160,2100
W06000021,695,240,435,140,140,300,125,270,285,55,125,755,350,20,55,185,255,4430
W06000022,100,245,500,140,140,345,285,285,250,120,135,620,370,10,60,205,290,4100
W06000023,3300,385,845,250,235,495,235,560,200,60,140,630,585,55,75,220,425,8695
W06000024,25,80,285,55,40,130,70,140,40,15,25,120,115,0,10,70,95,1315
