E06000001,1344,221,140,84,16,9,1
E06000002,1669,322,201,121,42,19,11
E06000003,1830,307,208,118,39,14,4
E06000004,3242,410,287,195,64,32,15
E06000005,1920,277,198,152,60,16,2
E06000006,1860,368,237,154,64,22,10
E06000007,4771,658,392,282,94,61,12
E06000008,2719,474,321,182,56,35,3
E06000009,2176,474,284,178,39,7,2
E06000010,3751,378,294,280,146,111,85
E06000011,9259,1518,811,463,82,28,4
E06000012,2854,468,328,197,51,20,7
E06000013,3463,548,343,222,62,28,9
E06000014,4268,660,464,309,77,31,6
E06000015,4260,625,464,281,88,34,8
E06000016,6019,1072,718,434,125,58,14
E06000017,1325,187,107,82,27,10,2
E06000018,4649,838,665,438,133,77,25
E06000019,7302,1008,588,324,79,20,4
E06000020,3024,513,314,246,70,26,12
E06000021,3936,431,294,242,102,57,38
E06000022,5507,736,507,328,79,31,12
E06000023,10287,1608,1035,642,192,85,21
E06000024,5591,783,465,296,88,19,3
E06000025,6472,842,521,350,85,42,8
E06000026,3476,680,439,272,62,37,4
E06000027,2646,445,294,172,42,10,1
E06000028,4123,616,339,264,80,21,7
E06000029,3917,613,404,248,76,26,6
E06000030,4268,471,346,265,97,58,20
E06000031,3624,539,367,272,112,47,9
E06000039,2996,363,285,197,69,60,25
E06000040,6307,729,414,292,92,37,9
E06000041,5674,569,370,228,57,33,4
E06000042,7102,817,566,414,142,73,21
E06000043,8518,1180,681,384,82,42,3
E06000032,3450,443,312,226,83,52,14
E06000033,4348,541,370,215,61,26,9
E06000034,3257,404,261,175,55,14,4
E06000035,4946,683,428,247,82,32,7
E06000036,3220,301,227,160,58,28,11
E06000037,6071,714,486,367,107,44,16
E06000044,3373,543,374,219,54,24,3
E06000045,3818,601,402,248,55,25,6
E06000046,2971,600,390,202,41,13,3
E06000047,8430,1420,880,534,158,51,12
E06000049,12908,1695,996,651,165,57,8
E06000050,8805,1269,762,504,130,60,10
E06000051,10865,1624,950,494,100,33,4
E06000052,15629,2735,1561,767,166,52,5
E06000053,147,26,15,2,0,0,0
E06000054,15331,1995,1263,753,195,66,12
E06000055,4245,554,332,234,69,28,8
E06000056,8295,940,617,343,101,40,9
E06000057,7424,1273,728,371,70,24,5
E07000004,6663,821,457,266,63,13,2
E07000005,4484,428,251,154,47,13,3
E07000006,3590,431,291,187,42,10,4
E07000007,6576,768,495,317,116,40,18
E07000088,1260,172,98,99,13,6,2
E07000089,3591,352,242,129,38,19,4
E07000090,2668,336,219,138,36,24,4
E07000091,5444,839,512,259,62,26,3
E07000092,2022,292,199,158,48,20,11
E07000093,3831,599,366,202,61,14,2
E07000094,4735,792,504,276,65,32,6
E07000095,2585,283,171,148,46,19,3
E07000096,5211,611,361,220,65,18,4
E07000098,4163,467,286,211,62,34,12
E07000099,4222,685,434,237,46,14,2
E07000102,3353,366,224,147,42,10,3
E06000038,4068,587,354,299,98,50,14
E07000008,3091,444,292,221,75,51,16
E07000009,2825,416,243,148,28,10,0
E07000010,2419,344,200,109,34,8,1
E07000011,5133,731,489,278,98,30,6
E07000012,5370,719,449,278,86,48,5
E07000026,3123,456,256,149,43,6,2
E07000027,1248,183,115,68,22,10,4
E07000028,2922,456,280,174,57,31,10
E07000029,1797,200,109,67,12,5,0
E07000030,2735,390,205,103,18,7,2
E07000031,4452,749,408,250,56,16,4
E07000032,2943,431,270,189,58,26,8
E07000033,1270,207,99,100,31,14,4
E07000034,1869,391,239,195,44,25,2
E07000035,3381,454,255,141,37,17,0
E07000036,2238,415,282,173,34,20,8
E07000037,2674,415,202,121,27,7,4
E07000038,2281,353,215,106,25,6,4
E07000039,2432,301,209,120,25,12,1
E07000040,4340,718,397,209,47,12,2
E07000041,2409,482,327,213,56,16,7
E07000042,3311,488,221,103,31,5,1
E07000043,3476,483,345,160,34,15,2
E07000044,3462,577,333,189,31,12,1
E07000045,3726,606,385,208,53,18,4
E07000046,2609,371,193,82,18,7,0
E07000047,2392,301,162,75,19,6,0
E07000048,1237,183,133,90,29,12,1
E07000049,3144,463,267,146,35,9,1
E07000050,2463,361,201,121,16,8,0
E07000051,1451,276,141,67,12,3,0
E07000052,3712,585,423,223,46,14,2
E07000053,1229,173,119,67,24,2,1
E07000061,1914,342,197,141,30,9,2
E07000062,1723,302,165,116,27,16,1
E07000063,2869,450,214,126,33,11,2
E07000064,2902,363,220,144,26,7,3
E07000065,5976,704,433,215,46,16,0
E07000066,4349,628,436,263,69,30,5
E07000067,4568,633,361,221,61,18,3
E07000068,2748,353,223,129,23,13,1
E07000069,2252,244,133,67,23,14,2
E07000070,4956,618,406,258,72,30,5
E07000071,4561,627,423,249,74,26,10
E07000072,4965,666,407,192,51,12,2
E07000086,3307,443,314,180,60,21,5
E07000073,1623,220,159,104,32,19,3
E07000074,2366,365,195,112,19,7,1
E07000075,2350,303,204,110,22,6,0
E07000076,2861,509,315,166,44,9,1
E07000077,3650,516,283,157,31,10,3
E07000078,3383,481,314,179,58,21,4
E07000079,4219,638,349,188,34,10,2
E07000080,2806,360,202,112,13,10,2
E07000087,2871,407,257,158,40,14,3
E07000081,2420,187,132,127,74,44,51
E07000082,4091,571,328,229,33,20,3
E07000083,2643,389,243,166,43,13,3
E07000084,5224,554,391,245,86,35,10
E07000085,4669,596,382,200,38,10,5
E07000103,2604,312,218,141,51,17,12
E07000105,4043,515,296,165,50,15,1
E07000106,3379,547,349,194,59,18,4
E07000107,2268,305,186,139,50,28,4
E07000108,2158,363,205,113,33,13,0
E07000109,2068,305,200,103,26,8,0
E07000110,4675,670,407,277,72,28,6
E07000111,4621,596,357,194,45,20,2
E07000112,2327,345,247,143,39,9,0
E07000113,2939,484,267,189,44,21,6
E07000114,2251,359,232,144,43,13,3
E07000115,3563,516,364,205,63,26,8
E07000116,4384,612,351,195,41,15,2
E07000117,1562,292,164,96,31,13,2
E07000118,2827,383,245,116,53,16,0
E07000119,2189,318,189,122,25,11,1
