la,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
E09000029,5,3,1,,,1,,,2,10,2,,7,6,2,,2,13,,4,2,4,3,3,17,5,7,2,2,,6,22,34,,20,3,2,15,1,,270,32,610,,94,141,289,,75,1,2,13,30,,21,192,,55,88,6,33,725,58,51,7,36,,255,179,312,127,14,42,219,3,,20,66,21,38,90,294,,8,148,434,30,88,,65,6,1,77,31,16,257,4,205,
E07000012,98,8,4,,,,1,,3,19,6,,2,9,3,8,7,15,,9,10,5,7,1,30,53,26,22,7,9,8,55,37,,8,2,,5,6,,149,23,266,,84,113,196,,54,,12,17,9,,27,99,,68,45,7,37,542,45,67,4,18,,193,92,347,127,127,40,327,9,,21,39,24,17,58,235,,2,122,222,13,32,,54,10,3,71,16,6,127,3,63,
E06000040,11,7,1,,1,11,2,2,5,20,5,,3,12,2,4,1,14,1,8,5,5,3,2,16,16,5,9,4,6,16,33,34,,11,1,1,6,5,,140,16,200,,89,170,291,,71,1,16,22,9,,49,167,,54,100,9,51,753,74,81,6,29,,330,165,644,104,23,65,378,6,,16,104,38,23,60,392,,3,140,189,13,24,,61,5,2,125,29,7,222,3,171,
E07000129,11,1,,,,,,1,2,4,6,,7,6,,8,5,13,,4,1,17,4,6,15,7,6,11,5,4,7,37,29,,4,,,7,,,84,11,222,,56,74,121,,115,1,1,15,8,,4,57,,9,14,1,13,126,12,39,10,23,,98,34,113,49,4,14,105,1,,16,20,3,7,23,124,,4,57,125,11,21,,18,,3,34,3,4,101,,17,
E07000156,17,5,,,,1,,,1,12,2,,2,,5,1,9,9,,6,,10,3,4,20,5,7,14,11,1,5,17,22,,3,1,,13,4,1,51,29,146,,68,83,101,,154,,,51,11,,9,51,,11,12,2,11,133,19,23,,8,,85,38,116,31,4,10,90,1,,8,17,7,11,17,117,,2,36,84,16,14,,9,,,16,5,1,74,,14,
E08000003,12,2,2,,,6,4,2,5,66,22,,64,91,5,2,15,37,2,17,9,26,6,9,46,31,28,33,11,12,24,82,91,2,22,8,3,33,8,,297,97,382,,258,824,1315,,239,17,39,173,47,,92,787,,88,216,28,69,914,121,248,25,71,,738,309,694,233,71,153,639,6,,70,179,80,100,111,931,,15,383,1256,112,167,,195,14,4,137,105,42,771,10,160,
E08000012,10,2,3,,,4,1,2,5,25,7,2,11,22,3,13,8,26,1,13,6,14,8,5,46,8,10,21,7,4,14,54,83,1,21,3,2,26,2,,239,64,537,,163,223,520,,293,13,12,145,36,,74,481,,61,85,13,56,462,77,130,13,66,,537,126,461,173,23,61,343,11,,42,72,24,46,66,653,,22,295,485,47,120,,176,12,8,140,67,19,434,3,124,
E06000009,5,,,,,2,,,7,11,2,,4,,,3,,11,,3,,4,2,,15,,1,5,1,4,7,13,17,,11,,1,4,2,,45,9,182,,49,56,167,,46,1,4,82,22,,72,110,,16,13,2,11,106,12,18,5,4,,103,40,66,28,2,29,77,4,,5,18,10,16,17,162,,3,43,84,17,16,,39,2,7,27,7,3,95,,40,
E06000018,6,2,2,,,,1,,2,26,11,,16,27,2,4,12,39,,8,5,14,3,5,27,9,12,18,3,3,21,62,51,,17,5,,10,1,,123,37,286,,126,183,429,,168,1,6,36,47,,37,280,,41,63,6,21,385,39,82,9,26,,287,98,241,100,28,45,234,7,,24,74,29,36,39,314,,6,185,549,46,93,,84,5,2,87,43,10,213,2,79,
E07000040,53,11,10,,1,2,1,1,5,13,8,1,2,5,2,6,3,9,,5,1,8,2,,15,12,8,9,1,5,10,30,27,,3,2,3,6,5,,126,13,202,,62,76,201,,37,3,6,17,3,,58,90,,24,32,3,10,150,19,30,5,19,,216,51,167,63,8,16,156,4,,6,21,9,15,27,119,,2,82,77,21,29,,32,9,1,45,11,9,97,1,144,
E07000008,13,,,,,1,,,1,5,4,,2,2,,,,14,,5,5,3,2,,5,26,9,7,1,1,1,19,11,,6,,2,3,,,76,14,87,,24,60,152,,12,2,1,8,2,,39,143,,61,48,2,24,393,41,33,3,14,,163,47,224,73,105,19,242,5,,10,29,22,6,22,168,,5,171,191,5,25,,52,8,3,35,37,6,97,,39,
E06000004,5,4,1,,,19,,,26,8,5,,2,4,,9,1,10,1,16,3,17,3,2,37,8,3,15,4,3,5,44,59,,10,2,,11,6,,92,73,347,,84,68,206,,78,1,1,19,7,,13,140,,19,20,1,24,171,30,41,6,20,,155,41,223,441,11,14,272,3,,9,32,4,14,39,214,,6,93,171,15,30,,21,2,4,49,25,5,167,2,14,
E06000025,28,7,2,,,,,1,2,16,7,,7,15,2,8,7,16,,8,,14,6,3,39,20,15,33,9,11,10,43,63,,12,5,1,15,10,,272,54,594,,151,128,243,,245,2,9,33,29,,48,148,,39,50,4,49,667,44,73,9,53,,296,124,387,212,30,35,345,8,,35,64,16,30,66,305,,12,116,246,20,39,,42,7,,132,29,15,172,2,153,
E07000068,10,5,2,,,,,1,2,7,3,,1,8,,4,1,6,,3,,4,,,9,1,,1,3,1,6,17,12,1,9,,1,3,1,,95,25,181,,31,48,121,,25,3,4,11,4,,5,66,,12,32,3,10,257,28,56,7,16,,138,54,189,41,3,25,100,3,,10,32,9,11,29,158,,6,47,110,5,15,,21,2,,46,8,5,109,1,36,
E06000022,29,7,2,,,1,,2,2,18,12,,4,12,1,10,2,19,,3,,11,5,1,23,12,13,15,3,4,11,43,35,,11,3,1,10,3,,167,24,267,,78,91,282,,50,3,5,15,2,,90,209,,72,78,4,25,450,46,60,8,39,,326,98,433,126,12,53,323,7,,21,43,17,19,60,232,,6,129,174,10,33,,89,12,5,87,31,9,157,2,360,
E07000240,8,2,1,,1,1,,,1,9,4,,4,10,1,6,5,19,,4,1,8,3,1,14,14,7,12,1,2,5,22,20,,8,2,3,5,7,,161,24,211,,56,113,248,,58,5,6,12,12,,24,139,,66,100,9,38,679,58,80,7,41,,282,179,648,108,23,69,323,7,,13,84,17,14,66,326,,3,127,222,18,29,,69,4,2,66,34,15,154,3,145,
E09000016,6,6,2,,,1,,,3,19,1,,6,23,3,11,4,18,,3,5,8,3,6,26,3,7,5,3,2,13,38,51,,13,,1,19,3,,336,74,662,,141,142,342,,188,12,4,47,28,,28,232,,24,55,4,38,518,46,86,16,46,,246,135,302,66,7,30,220,2,,21,86,27,52,80,359,,11,160,551,35,105,,58,1,2,67,37,9,372,4,55,
E07000007,17,9,3,,,3,1,1,7,27,8,1,6,14,1,11,4,27,1,5,3,8,,4,34,28,31,24,1,,28,70,41,,11,5,1,9,,,192,28,299,,129,214,288,,103,3,10,17,18,,31,152,,47,105,8,52,694,63,68,14,29,,305,165,574,109,30,79,377,5,,25,83,29,16,89,363,,5,140,272,8,42,,64,6,4,102,23,10,184,6,151,
E07000043,49,5,7,,,1,,,1,10,5,,,3,1,6,2,7,,1,1,4,2,2,18,2,1,7,4,2,7,14,29,,6,2,2,4,1,,65,15,120,,33,35,125,,24,,1,3,1,,57,57,,17,15,2,4,80,12,17,3,8,,106,29,85,24,5,12,76,4,,8,5,7,9,19,68,,4,53,37,8,12,,28,3,,52,17,3,40,,84,
E06000035,15,7,2,,,,,1,2,14,3,,6,9,2,14,5,19,1,5,3,6,3,4,47,8,4,8,4,3,5,35,87,1,22,2,3,15,7,,215,86,600,,113,134,320,,169,10,4,45,40,,30,175,,25,33,8,36,336,43,53,8,29,,225,104,231,101,9,24,266,13,,29,66,14,30,68,386,,10,145,389,26,82,,44,,2,57,37,13,254,4,49,
S12000020,29,17,21,,,13,1,,31,9,11,,2,1,,5,1,2,1,2,,2,1,1,14,3,1,1,,2,1,9,27,,6,1,,4,1,,39,9,114,,33,22,89,,17,2,1,5,,,31,43,,6,3,1,6,40,6,5,2,6,,29,12,45,58,2,3,95,2,,9,2,5,1,13,103,,3,39,27,1,5,,15,5,1,30,16,2,70,,,
E06000043,7,3,1,,,1,,1,2,30,14,,6,31,2,8,7,28,,6,1,6,3,,14,11,9,6,6,5,16,42,24,,12,4,1,9,2,,174,16,362,,57,140,522,,29,1,8,19,9,,113,370,,93,247,14,30,710,87,81,11,28,,560,150,460,94,22,87,419,4,,18,95,56,19,75,390,,4,220,264,19,70,,250,9,5,95,55,18,269,4,801,
E09000027,8,5,2,,,6,,1,10,24,11,2,10,27,6,3,4,15,,1,1,5,3,2,7,15,9,5,2,1,19,39,22,,11,1,,8,1,,238,23,251,,55,180,372,,65,8,4,21,10,,48,237,,105,339,21,38,917,106,135,9,48,,513,186,967,171,26,136,510,6,,16,119,51,14,68,526,,8,201,302,17,57,,178,10,3,142,33,10,375,4,423,
E08000016,22,,2,,,3,,1,6,16,4,2,5,7,2,12,2,16,,8,1,17,12,4,47,2,5,23,9,4,10,49,69,,11,4,1,17,2,,148,61,362,,103,113,254,,197,,1,27,26,,13,161,,20,26,5,15,168,9,54,6,15,,147,50,168,78,4,13,151,3,,17,28,14,8,27,147,,5,88,135,27,44,,32,5,2,66,19,8,130,1,24,
E07000044,41,7,9,,,1,1,,,21,15,,4,7,2,3,3,3,,2,,3,3,1,17,9,3,15,4,7,6,21,24,,7,,2,6,1,,100,18,118,,36,58,141,,20,11,,11,7,,51,77,,29,33,3,8,113,16,27,1,11,,180,38,145,62,11,14,131,5,,11,8,14,5,35,88,,8,79,60,7,18,,39,2,1,51,18,7,65,,143,
E07000168,34,1,10,,,1,,16,10,17,3,,,2,,2,,9,,,,7,1,1,7,5,5,3,4,2,4,24,24,,2,,,5,,,73,12,127,,46,29,160,,28,3,,4,2,,68,97,,11,10,2,6,55,11,24,3,5,,131,21,49,30,5,10,77,2,,8,5,6,6,24,42,,,40,44,14,11,,22,,4,38,7,2,40,1,84,
E07000192,5,2,1,,,,,,1,3,,,1,2,5,8,2,8,,1,,11,3,4,49,7,9,10,4,1,9,34,46,,14,6,1,12,3,,99,20,307,,80,89,129,,135,1,1,11,7,,7,61,,7,10,3,13,91,9,24,2,10,,73,37,74,33,1,8,107,2,,11,15,2,7,23,121,,3,37,57,7,11,,7,,2,36,4,2,131,,12,
E07000209,24,10,4,,,16,,1,7,16,9,,4,8,2,10,2,11,,2,,5,5,,13,12,9,5,5,5,7,32,31,,20,8,2,5,2,,157,22,191,,87,107,240,,40,3,8,11,11,,30,122,,62,77,9,37,556,33,76,10,37,,266,130,508,116,24,43,296,14,,20,56,23,20,67,275,,5,113,186,12,29,,62,8,,106,41,9,139,3,181,
E07000037,15,2,,,,2,,5,3,6,6,,3,5,2,6,7,3,,7,1,8,6,1,29,6,6,26,4,2,5,25,35,,,,,3,2,,64,11,116,,60,64,144,,56,2,2,7,3,,22,90,,15,22,6,4,150,9,23,4,19,,100,40,118,76,8,13,127,2,,14,4,13,6,21,135,,3,50,59,7,21,,29,1,,42,14,1,106,,43,
E07000217,4,2,1,,,6,,1,4,7,5,,,5,2,3,5,11,1,1,1,2,1,,14,16,6,8,3,8,5,20,29,,4,2,,1,2,,94,15,136,,46,88,158,,39,3,5,9,7,,15,89,,32,47,2,22,543,46,50,3,17,,156,97,294,86,16,36,194,6,,15,40,10,12,39,206,,6,84,143,9,23,,28,2,5,44,24,5,127,,100,
E07000073,3,2,,,,,1,,,3,,,3,9,,4,3,6,,5,,5,2,,14,6,8,1,1,1,5,23,19,,2,1,1,9,,,69,18,162,,36,71,99,,155,2,,24,13,,8,59,,5,9,1,13,122,7,23,,13,,47,25,75,18,7,9,80,2,,8,21,5,9,22,97,,3,51,228,4,28,,13,,2,25,13,11,92,,38,
E08000009,17,2,1,,1,2,2,2,3,22,8,1,17,19,2,7,7,34,,12,1,15,4,6,28,12,18,15,7,2,16,61,57,,22,9,,17,8,,183,42,326,,119,242,471,,85,4,16,47,19,,33,228,,41,116,14,34,614,69,128,12,47,,419,161,541,188,18,77,406,4,,33,132,31,35,73,470,,6,181,543,18,56,,71,2,6,108,27,13,291,10,120,
E07000227,44,8,2,,,3,1,3,3,10,11,,5,4,2,8,2,26,,5,1,8,3,1,29,13,12,13,3,9,11,62,35,,13,6,2,8,1,,125,19,203,,96,86,202,,41,5,20,24,6,,23,89,,44,50,7,24,435,33,58,13,28,,189,97,353,70,25,27,243,9,,25,50,22,14,58,192,,4,73,113,4,22,,54,3,3,78,21,8,144,4,114,
E09000009,12,2,2,,,5,2,2,11,80,14,,23,54,4,5,3,36,,8,3,10,9,6,28,14,14,11,1,4,29,78,71,,18,4,,24,6,,717,106,809,,225,580,965,,304,7,22,78,74,,85,479,,99,401,42,80,1186,141,136,12,45,,752,322,688,177,43,135,515,5,,80,116,100,64,138,740,,21,325,646,42,120,,189,6,3,103,58,30,774,9,396,
E06000020,31,2,2,,,,,3,1,15,4,,6,4,1,12,4,12,,6,,19,6,3,56,9,15,35,7,3,8,62,45,,7,4,4,16,3,,103,18,213,,117,98,209,,117,,2,18,18,,21,117,,11,18,7,22,307,19,38,4,20,,167,58,177,61,4,13,147,4,,17,30,5,19,44,171,,3,89,140,15,26,,18,4,,60,9,15,136,1,36,
E07000207,8,7,1,,,5,,1,9,18,1,,6,19,2,1,2,16,,3,5,4,2,,15,12,9,9,3,3,7,32,24,,10,4,2,9,3,,205,19,183,,55,136,232,,35,10,7,19,11,,43,129,,51,143,12,33,600,46,110,11,37,,375,158,689,94,14,97,360,8,,10,73,29,19,69,364,,6,106,172,16,31,,85,3,5,117,35,10,252,2,254,
E07000222,41,5,,,,,,,,14,6,,4,7,2,,6,12,1,3,1,8,6,3,21,15,9,27,24,8,11,44,38,,11,1,3,5,3,,130,25,163,,83,128,235,,50,2,7,15,9,,34,147,,42,32,4,21,430,38,55,3,24,,233,99,424,260,24,45,340,9,,13,39,19,11,43,267,,3,102,180,8,34,,49,6,1,62,29,5,178,1,120,
W06000022,5,2,1,,,1,,1,2,12,2,1,2,10,,5,2,8,,1,1,2,3,3,26,9,6,7,,1,2,19,37,,12,3,2,17,5,,82,34,190,,79,75,192,,106,4,4,25,12,,26,117,,13,30,4,19,168,17,59,11,48,,141,66,160,55,3,12,122,1,,22,30,10,24,37,163,,4,59,119,15,24,,22,2,1,56,13,6,88,1,29,
E06000047,84,16,2,,2,12,1,10,16,39,9,,11,13,4,21,6,36,,21,5,27,11,11,106,22,26,35,14,8,25,83,121,,44,4,4,26,10,,248,121,736,,247,190,510,,250,7,4,30,25,,66,326,,41,34,3,31,354,48,76,10,42,,300,95,415,248,29,34,375,12,,51,43,20,38,74,410,,14,243,247,29,77,,73,6,8,182,42,14,355,1,57,
E07000031,56,19,5,,,2,1,5,2,25,11,2,7,3,1,11,7,6,,5,,3,5,,21,14,8,10,3,5,7,26,28,,16,,2,6,1,,156,26,329,,79,82,271,,33,,,8,5,,137,165,,24,20,1,12,127,24,35,2,15,,159,53,168,96,7,21,182,6,,12,13,23,4,47,166,,4,98,93,7,22,,32,6,2,70,19,5,142,,115,
E06000041,22,3,1,,,4,,,3,8,8,,2,7,1,7,1,13,,2,2,6,1,1,27,27,7,20,1,5,14,38,49,,9,3,2,7,3,,179,40,263,,93,128,233,,60,1,5,20,11,,31,101,,34,49,9,56,1136,79,68,8,38,,223,151,606,114,25,41,322,4,,23,69,15,21,69,321,,7,92,169,12,30,,47,1,3,94,25,10,185,1,126,
E08000030,1,2,2,,,,,1,4,24,4,,7,19,22,11,13,21,,12,4,25,2,31,157,11,17,28,15,8,17,85,91,,12,,,21,9,,157,71,443,,167,204,324,,349,2,9,31,48,,27,189,,13,24,4,12,237,25,54,12,17,,207,106,186,73,8,13,173,3,,33,56,15,18,43,283,,11,122,366,39,76,,32,1,4,56,29,7,258,5,29,
S12000046,20,5,8,,,10,,,14,57,18,,24,29,7,7,14,48,2,11,4,10,7,10,70,21,14,27,10,15,24,104,130,,41,4,,33,12,1,287,97,721,,241,352,1074,,125,9,15,51,35,,100,856,,78,241,31,65,798,113,156,18,93,2,636,184,573,315,42,83,578,7,,59,92,49,41,114,726,,4,262,364,33,95,,286,9,19,157,84,41,636,3,18,
E08000021,9,2,3,,,5,,,12,22,12,1,8,18,2,2,5,27,,6,3,14,3,,37,11,7,20,4,7,12,38,47,,21,3,,11,6,,138,25,315,,101,130,432,,60,8,11,20,15,,59,383,,38,80,13,29,387,49,89,14,40,,365,99,258,169,24,67,274,5,,25,62,38,20,52,262,,4,173,385,27,51,,125,4,8,102,45,18,304,4,109,
E07000147,59,6,5,,,9,1,1,7,13,5,,2,7,,9,,9,,2,,6,1,,17,9,3,7,2,9,7,25,28,,4,,3,5,1,,95,11,122,,43,48,145,,23,5,,14,,,58,70,,19,20,4,1,74,14,11,3,8,,112,28,86,35,4,14,72,4,,21,11,6,3,28,70,,,47,34,12,17,,30,7,1,37,10,7,43,,64,
E07000223,2,1,2,,,,,2,,3,1,,,3,,2,,8,,,,2,1,1,9,5,4,8,,,7,24,13,,1,,,2,1,,41,9,108,,30,38,74,,11,1,7,4,4,,5,39,,7,15,1,13,83,7,17,4,4,,45,19,54,17,2,8,61,1,,6,14,6,5,24,48,,,33,50,4,8,,12,2,,32,6,2,33,,39,
E07000212,3,,,,,1,,,3,9,2,,2,6,,4,3,6,,4,3,,1,1,5,8,3,9,,1,1,18,32,,5,,,5,1,,92,8,142,,61,68,96,,60,3,6,10,7,,10,68,,16,47,3,10,288,24,29,3,12,,139,41,190,40,9,17,141,8,,16,37,6,9,24,145,,,60,122,14,14,,27,3,1,39,11,4,99,1,53,
E07000200,55,10,,,,,,,1,13,6,,2,6,,5,3,15,,6,1,6,5,2,15,6,3,13,2,6,6,15,34,,5,2,,10,1,,75,12,138,,39,74,119,,48,8,3,6,3,,13,65,,19,26,3,13,123,12,32,8,18,,100,34,128,54,3,11,115,4,,10,13,10,6,19,104,,1,35,46,7,21,,30,3,1,30,7,3,44,,16,
E06000028,4,3,2,,,,,,3,10,2,,4,10,,4,3,22,1,6,2,5,2,,20,10,7,12,1,6,4,25,44,,10,1,,4,3,,163,18,278,,72,91,317,,64,4,8,11,9,,69,183,,21,51,3,33,334,51,73,14,28,,321,78,210,59,6,36,198,4,,11,39,17,19,61,207,,4,142,176,21,46,,63,2,3,57,24,15,211,3,339,
E07000172,5,,,,,,,1,1,6,4,,8,7,2,2,3,20,,2,4,5,2,,18,9,7,12,,2,8,19,21,,6,4,,3,,,63,24,181,,39,59,124,,46,1,2,12,11,,8,67,,7,13,2,12,172,21,29,3,8,,93,30,125,54,8,11,87,2,,3,19,6,6,22,89,,2,50,101,4,27,,11,2,,23,12,4,95,,20,
E07000195,22,4,2,,1,4,,2,1,8,1,,3,3,,13,3,7,,1,,7,5,1,26,15,4,23,6,2,7,22,40,,5,1,,11,5,,73,17,226,,66,86,157,,84,1,2,12,15,,13,67,,6,13,3,10,130,10,46,3,16,,102,33,131,35,6,14,100,2,,12,17,2,10,18,138,,2,70,178,20,14,,22,3,,44,8,5,96,2,21,
E07000171,61,5,1,,3,,,4,1,8,5,,2,4,,6,2,14,,3,,7,14,2,30,4,3,16,3,7,8,35,44,,8,2,3,11,1,,88,36,220,,62,87,148,,99,1,1,17,5,,14,85,,14,13,3,13,92,11,36,,11,,118,36,117,43,3,6,117,7,,12,13,8,6,22,126,,3,47,105,5,19,,9,1,,56,10,7,87,1,19,
E07000049,28,7,1,,,1,,1,3,9,2,,1,7,1,11,1,14,,6,1,10,,2,23,11,6,17,2,5,9,28,41,,12,3,2,7,5,,108,19,183,,45,74,129,,35,2,4,15,5,,20,47,,12,22,2,12,167,23,33,3,22,,103,62,177,50,5,17,121,6,,10,13,10,9,38,111,,2,60,49,9,14,,18,3,,40,12,8,86,2,89,
E06000007,16,2,2,,,5,,3,3,12,9,,8,3,2,8,5,18,1,12,,15,4,6,28,11,8,20,7,6,11,32,62,,14,2,1,9,4,,134,51,314,,140,142,286,,260,3,4,42,23,,15,169,,21,39,7,52,419,44,74,7,36,,229,93,406,188,10,39,291,12,,21,70,7,17,61,383,,10,105,250,19,37,,30,3,4,90,22,11,224,3,34,
E07000242,34,8,,,,1,,1,2,15,8,,3,13,1,6,2,24,,4,3,13,4,2,19,9,12,2,,4,7,34,43,,16,2,,13,3,,163,30,259,,73,93,200,,79,3,11,17,11,,20,98,,35,58,6,27,375,39,74,7,31,,240,99,339,87,11,43,251,7,,16,58,21,15,61,300,,4,95,102,7,28,,60,3,6,87,16,7,192,1,139,
E09000012,10,2,3,,1,6,1,1,1,39,20,,16,133,15,7,6,40,,6,3,3,2,,10,8,12,2,1,5,20,53,29,,11,2,,12,1,,202,34,167,,45,294,749,,66,6,10,25,16,,72,520,,189,629,18,36,855,145,109,1,45,,935,158,530,214,28,261,641,3,,23,112,57,44,53,678,,19,299,490,31,158,,467,14,3,112,82,20,558,5,466,
E06000050,87,12,7,,,,,,4,37,9,,6,15,2,13,6,21,3,25,1,8,5,4,40,17,11,15,9,13,22,70,95,,22,4,1,15,8,,234,86,424,,186,208,461,,235,6,12,43,16,,76,246,,50,58,5,49,641,64,131,22,59,,425,155,738,249,23,75,523,23,,33,68,39,30,89,545,,10,191,278,23,63,,78,10,1,136,35,16,291,6,132,
E06000014,32,5,3,,,1,,1,2,9,6,,3,9,1,7,5,26,,3,2,2,7,1,22,13,3,10,4,5,9,32,44,,15,2,1,4,2,,144,24,249,,75,76,261,,54,2,2,8,18,,64,188,,47,50,6,21,322,30,43,9,26,,233,82,351,94,26,34,210,11,,17,30,23,7,44,167,,5,99,161,14,23,,58,16,3,58,29,5,139,2,107,
E06000051,238,35,7,,,1,,4,,64,10,,6,12,5,20,5,24,,17,,22,7,5,63,11,13,46,15,11,29,92,100,,21,6,4,20,6,,320,63,484,,166,245,466,,160,7,11,32,17,,73,276,,61,38,6,35,428,39,77,18,53,,328,132,483,168,11,36,414,28,,45,48,30,15,76,313,,5,175,280,40,62,,79,11,3,139,56,11,223,3,149,
E09000032,9,7,1,,,6,,4,10,73,18,,16,68,10,8,4,23,,7,7,7,5,2,9,13,11,4,2,3,22,52,39,,16,5,,13,4,,337,44,368,,67,341,684,,80,9,13,34,16,,94,492,,150,347,26,39,1082,137,206,9,74,,922,287,1091,204,23,189,618,10,,30,135,88,31,117,779,,16,275,600,15,108,,279,10,7,156,72,20,634,7,822,
E06000037,45,13,3,,,,,,4,13,8,,7,5,1,7,4,19,,9,2,8,8,2,13,44,18,15,5,3,9,26,48,,17,5,,7,2,,145,23,266,,88,141,183,,80,1,7,18,20,,34,107,,35,38,13,87,705,50,72,6,30,1,242,91,476,103,22,40,274,9,,17,48,20,13,66,298,,4,86,103,9,20,,41,4,2,107,28,7,129,2,114,
E07000005,22,5,1,,,3,2,1,4,8,1,,5,7,1,8,3,15,,4,4,3,3,1,9,10,4,9,3,2,6,24,23,,6,2,1,5,5,,121,16,188,,60,87,166,,33,2,3,8,5,,27,81,,40,95,6,25,419,45,56,5,23,,222,129,485,77,19,36,276,7,,14,42,23,14,39,235,,4,77,144,12,16,,65,5,2,61,29,6,127,1,115,
E09000019,12,5,,,,6,,2,3,35,12,,11,61,12,5,6,39,1,6,1,4,2,,5,10,9,3,2,4,21,47,11,,9,2,,9,,,171,33,187,,43,238,523,,52,6,10,25,20,,103,455,,180,392,15,37,871,157,175,13,74,,660,204,729,198,36,207,628,4,,15,116,58,20,60,635,,5,292,348,18,120,,322,9,9,100,104,14,488,6,643,
S12000039,2,2,1,,,1,,1,3,7,2,,2,3,,3,2,2,,,,3,2,3,14,2,3,5,1,2,2,13,26,,7,,,5,2,,26,13,127,,27,24,71,,26,5,,6,,,9,77,,3,8,2,6,54,9,5,2,10,,37,9,34,50,3,4,58,,,7,4,1,6,21,83,,,16,17,6,8,,15,2,1,25,7,1,66,1,,
E07000150,7,2,1,,,,,,2,11,2,,4,3,,1,4,9,,2,1,9,,1,19,3,2,9,5,2,6,20,42,,2,1,1,3,1,,30,9,87,,120,43,76,,227,1,2,30,13,,5,39,,12,7,,4,87,7,10,,3,,49,16,54,29,2,10,58,1,,4,27,3,4,10,93,,3,29,140,3,32,,7,,,23,12,4,69,,3,
E07000190,45,4,1,,,3,,,,8,6,,5,1,1,4,2,7,1,5,,4,2,,6,8,,6,6,5,7,22,26,,7,,4,4,1,,81,15,120,,53,47,112,,37,2,1,1,7,,29,59,,14,14,3,10,140,21,34,4,13,,132,56,130,56,6,12,112,7,,11,16,9,19,23,86,,1,75,100,13,23,,24,3,,48,19,5,77,,54,
E08000018,26,2,3,,,1,,5,,14,4,2,10,7,,18,5,18,,2,,13,8,15,81,13,20,31,10,6,13,49,96,,12,4,3,25,6,,164,77,536,,134,167,303,,215,2,4,42,26,,13,174,,12,18,2,28,221,20,53,6,29,,170,83,205,90,7,13,166,6,,25,39,18,22,37,210,,9,119,268,56,34,,36,1,1,78,11,3,151,2,25,
E07000028,43,8,,,,,1,2,3,2,1,,5,2,2,9,1,4,,,1,3,2,,19,2,4,13,1,2,5,16,26,1,2,2,2,5,2,,61,25,174,,56,55,115,,63,1,,12,13,,24,88,,11,11,1,10,57,13,18,4,8,,81,26,75,45,5,13,74,7,,13,9,9,12,17,111,,,47,76,8,13,,15,3,3,31,20,2,60,1,38,
E07000103,5,,1,,,,,,1,14,2,,3,12,,2,4,7,,2,5,6,3,1,10,7,5,7,,1,8,12,23,1,6,1,1,12,2,,120,18,227,,38,132,207,,75,4,2,22,8,,16,108,,17,51,3,28,444,36,39,2,22,,152,89,232,45,5,27,137,6,,12,49,15,12,42,210,,3,86,242,24,37,,28,,1,33,25,10,164,1,56,
E07000119,19,1,2,,,1,,2,,4,1,,5,1,,2,2,5,,3,1,3,3,,6,1,1,3,2,4,4,20,17,,3,,,8,2,,40,11,112,,39,46,115,,26,,4,22,1,,27,58,,11,18,2,5,162,9,25,4,15,,115,44,111,47,3,22,100,4,,12,9,2,14,16,112,,2,31,78,5,11,,15,,2,32,5,4,85,,61,
E06000031,28,1,2,,,,,1,3,13,2,1,5,9,2,3,4,16,,10,,5,2,4,35,12,10,17,4,1,8,28,46,,8,2,2,7,5,,97,28,212,,169,147,268,,509,1,4,60,45,,17,107,,28,32,4,28,284,24,60,6,35,,181,69,242,61,9,35,151,6,,19,63,12,17,38,240,,4,92,314,20,63,,34,2,4,56,29,8,178,,30,
E07000087,5,1,1,,,1,,,1,5,,1,5,,,4,1,4,,1,,9,2,2,32,10,4,15,8,21,5,26,79,,10,3,,7,2,,97,23,238,,67,49,123,,47,9,5,13,6,,20,82,,13,18,3,28,238,31,44,6,22,,104,59,175,72,14,19,143,5,,11,33,8,11,30,167,,8,61,86,22,18,,19,4,1,50,13,5,105,2,54,
S12000034,148,20,290,,1,128,1,9,292,41,11,,2,9,,7,,6,1,6,1,9,7,2,61,8,13,23,1,6,8,41,153,,43,1,,9,4,,174,54,469,,114,96,256,,88,7,7,25,10,,87,162,,27,28,7,22,226,33,29,5,25,,178,71,536,854,19,16,634,14,,34,41,11,9,68,617,,5,64,84,5,23,,41,5,2,72,24,10,349,3,6,
E08000026,13,2,2,,,1,2,4,4,19,4,,19,18,3,9,2,12,,16,3,22,6,9,85,15,11,41,43,4,7,52,104,,11,1,4,9,3,,168,57,326,,220,210,504,,451,5,7,67,37,,21,252,,35,52,8,25,616,57,70,6,37,,263,104,366,233,25,41,353,7,,20,71,21,41,82,451,,15,199,575,52,101,,71,7,1,87,45,16,279,3,54,
E07000065,55,23,3,,,2,,,1,13,10,,3,8,2,12,4,25,,5,2,6,3,1,16,15,8,11,2,4,8,44,29,,6,4,2,8,,,156,25,316,,85,120,229,,30,,8,19,5,,24,98,,58,63,5,22,274,39,62,12,30,,232,106,295,70,16,34,240,8,,17,36,16,24,44,228,,6,88,95,21,21,,50,4,3,77,32,9,128,,150,
